Date,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
192707,8.46,4.71,7.49,5.32,5.87,4.7,8.36,4.95,5.62,9.74
192708,0.86,1.52,-0.21,2.67,1.68,1.92,-2,1.73,2.76,-2.14
192709,4.01,3.88,2.99,4.35,4.18,5.36,2.68,2.48,1.53,2.37
192710,-4.78,-0.39,-4.63,-4.03,-1.49,0.23,-2.41,-2.21,-1.28,-2.3
192711,6.07,9.5,7.57,8.19,6.31,5.16,9.12,6.33,9,13.21
192712,4.42,3.18,1.75,3.09,1.94,3.27,6.26,3.84,6.34,3.73
192801,2.48,1.24,2.42,3.45,1.61,0.87,1.37,2.62,0.72,1.35
192802,-3.41,-1.4,-3.48,-1.53,-3.15,-1.26,-0.51,-1.86,-1.52,0.06
192803,8.37,8.09,5.71,5.11,6.46,5.73,7.11,3.71,8.39,5.36
192804,8.04,5.36,3.68,3.26,3.07,5.03,4.7,7.91,7.03,7.19
192805,0.75,4.35,2.61,3.69,1.61,-0.34,3.31,-1.29,3.5,13.07
192806,-7.34,-4.25,-6.52,-5.02,-4.77,-4.49,-5.05,-4.48,-5.52,-7.96
192807,3.26,0.08,1.15,1.3,0.25,1.32,1.29,0.91,-1.66,-0.65
192808,7.39,6.92,8.54,6.97,6.19,7.48,6.77,4.23,4.26,3.5
192809,6.28,3.01,4.12,3.42,1.57,3.83,4.28,3.21,6.98,2.45
192810,4.56,0.88,4.95,1.09,1.54,-0.85,1.44,0.94,0.11,1.76
192811,11.14,11.7,12.91,10.76,9.35,9.81,11.68,8.31,7.04,6.37
192812,0.55,-0.42,1.5,2.03,0.37,0.54,0.02,1.39,1.08,1.39
192901,5.67,-0.01,7.07,5.37,4.16,2.86,5.42,1.62,4.63,0.53
192902,0.47,0.32,-0.94,0.58,0.52,-0.47,0.35,1.05,2.91,2.87
192903,-3.64,-0.79,-2.23,-1.44,-3.14,-2.41,-3.31,-2.59,-3.76,-4.61
192904,1.38,2.33,2.95,2.07,2.34,2.25,1.59,-0.58,1.46,2.41
192905,-7.47,-6.98,-6.71,-4.43,-4.92,-3.68,-8.15,-7.22,-10.57,-10.06
192906,11.08,9.61,10.81,10.72,7.75,9.06,8.11,6.3,6.48,5.18
192907,2.21,5.76,4.94,2.91,5.02,2.45,1.58,1.62,0.52,-0.65
192908,4.38,8.92,6.73,5.34,5.55,4.98,2.91,1.51,1.35,1.24
192909,0.14,-2.15,-0.87,-2.19,-5.79,-3.06,-4.77,-3.22,-4.29,-3.39
192910,-25.76,-25.69,-22.01,-15.19,-17.51,-12.85,-14.53,-15.18,-12.58,-15.74
192911,-13.05,-16.12,-14.35,-11.24,-10.8,-9.49,-7.64,-9.79,-9.08,-9.96
192912,2.11,2.64,1.02,-2.83,-0.89,1.37,-2.13,-2.69,-2.41,-7.03
193001,3.45,7.38,7.78,10.56,7.05,5.91,6.7,7.39,5.95,13.58
193002,5.16,3.11,4.18,2.4,0.15,2.12,1.66,3.48,1.58,3.83
193003,6.76,5.99,8.61,6.6,6.8,9.07,4.28,3.54,5.99,5.29
193004,1.08,-1.66,-4.74,-2.83,-4.38,-3.99,-4.71,-6.82,-10.39,-1.38
193005,-3.32,-0.4,-3.47,-1.31,-2.83,-1.78,-1.73,-2.6,-1.55,-3.7
193006,-18.55,-18.37,-17.46,-14.56,-16.49,-15.55,-13.16,-16.38,-15.04,-15.55
193007,3.65,3.75,3.58,4.08,5.07,4.21,4.61,4.94,5.72,6.19
193008,0.57,3.28,0.66,1.45,0.57,-4.07,-1.38,-2.25,-2.53,-7.63
193009,-14.48,-11.91,-10.18,-9.89,-11.24,-16.94,-12.47,-15.3,-13.69,-20.93
193010,-8.91,-9.61,-7.26,-8.15,-9.54,-15.89,-6.98,-10.69,-10.09,-8.27
193011,-4.66,-1.27,-2.51,-3.81,-4.11,-2.17,0.63,0.12,-0.05,4.27
193012,-9.4,-7.59,-7.18,-8.33,-11.23,-12.67,-11.09,-14.89,-15.91,-15.24
193101,5.63,8.65,7.07,7.64,11.05,12.75,10.44,9.74,14.03,15.49
193102,14.21,11.83,7.64,8.52,10.74,16.46,15.13,15.37,15.96,21.48
193103,-8.36,-4.61,-6.64,-7.72,-7.74,-8.76,-4.51,-7.4,-7.6,-7.31
193104,-11.61,-8.81,-10.18,-10.8,-15.98,-16.3,-12.29,-18.93,-18.16,-16.47
193105,-15.22,-13.34,-11.27,-12.4,-14.88,-14.82,-14.24,-15.79,-11.43,-14.35
193106,14.8,13.25,15.02,14.14,18.89,16.74,13.86,19.38,15.44,17.18
193107,-3.26,-5.48,-5.58,-6.04,-7.56,-5.23,-6.72,-9.15,-7.41,-9.98
193108,0.23,-0.29,-1.85,0.29,-2.41,-1.4,-1.21,-0.13,-1.54,0.2
193109,-30.05,-28.96,-26.44,-30.52,-25.84,-24.49,-31.78,-34.46,-34.77,-30.38
193110,10.99,10.51,5.9,7.52,4.41,8.06,13.74,9.03,16.31,7.46
193111,-6.56,-7.17,-6.1,-9.93,-10.09,-12.99,-8.41,-5.15,-8.74,-10.45
193112,-13.6,-13.76,-12.7,-16.13,-12.7,-14.4,-20.2,-20.39,-17.29,-21.21
193201,4.35,1,2.48,1.84,-2.05,2.02,6.1,8.4,9.54,11.85
193202,3.81,6.64,0.78,4.33,3.12,1.05,6.18,-1.58,-2.42,1.02
193203,-11.37,-8.81,-11.83,-13.2,-8.48,-10.45,-12.78,-14.51,-12.23,-12.44
193204,-15.87,-20.67,-15.39,-17.72,-18.6,-15.7,-17.11,-18.99,-20.06,-18.44
193205,-21.31,-18.04,-25.1,-27.23,-21.77,-21.33,-22.46,-23.37,-23.04,-21.43
193206,1.92,2.38,4.83,6.11,-2.63,2.38,6.16,0.87,10.5,3.22
193207,27.26,19.89,32.03,32.75,29.35,43.38,31.24,42.8,40.61,66
193208,42.14,31.53,35.58,45.12,44.47,46.1,41.78,45.43,58.91,72.92
193209,-8.48,-2.03,-2.31,-4.77,-4.4,-5.13,-2.41,-2.05,-5.96,-7.98
193210,-8.84,-9.24,-12.76,-11.86,-9.89,-15.77,-17.49,-16.31,-19.05,-19.38
193211,-5.82,-1.47,-4.73,-6.33,-6.36,-6.15,-6.52,-5.1,-4.86,-11.14
193212,-1.17,0.17,3.89,1.62,2.65,-0.67,-0.64,0.32,-3.35,-1.72
193301,-6.44,4.57,-0.36,3.88,6.23,9.05,5.74,5.73,4.96,7.67
193302,-8.65,-11.39,-12.83,-15.11,-13.18,-20.96,-16.34,-14.15,-19.93,-20.42
193303,2.5,7.39,10.09,5.58,0.65,8.12,11.09,12.79,9.88,7.14
193304,34.38,33.89,41.14,51.32,39.59,48.18,44.3,44.39,54.78,55.94
193305,45.77,30.54,26.76,23.89,28.45,38.15,42.71,49.24,43.52,61.91
193306,20.55,11.01,12.78,13.53,19.55,11.31,14.23,12.82,14.7,32.86
193307,-15.08,-11.71,-11.81,-10.6,-6.83,-10.18,-5.52,-10.55,-6.48,-7.54
193308,21.76,16.7,12.69,12.63,12.47,15.29,10.02,6.85,5.85,5.31
193309,-6.57,-12.95,-9.53,-9.97,-10.33,-7.59,-4.49,-11.3,-6.08,-9.28
193310,-8.5,-7.06,-9.39,-7.29,-6.7,-7.67,-1.3,-6.4,-7.38,-6.69
193311,9.8,11.36,13.58,6.42,7.79,6.87,3.48,6.34,3.09,2.77
193312,9.71,7.75,4.06,2.48,-0.46,1.29,1.93,3.55,1.88,-5.07
193401,17.52,15.29,16.66,15.18,17.81,16.85,11.06,16.04,10.92,23.76
193402,-2.04,-1.73,-0.22,-1.43,-0.48,-3.65,-0.97,-0.77,4.74,1.41
193403,2.55,3.94,-0.2,4.12,0,1.4,1.61,1.16,-0.26,0.59
193404,-2,-3.36,-1.42,1.89,-0.62,-2.34,1.92,1.9,2.85,4.1
193405,-9.37,-10.87,-6.95,-7.58,-6.76,-5.95,-2.75,-5.31,-5.36,-3.61
193406,2.77,3.3,5.59,4.03,4.6,2.5,4.22,3.17,1.75,1.26
193407,-17.01,-13.85,-11.92,-10.39,-10.59,-10.84,-7.7,-7.36,-7.8,-10.84
193408,10.49,10.56,4.72,7.97,6.37,7.55,6.06,2.82,4.22,0.43
193409,-0.36,-1.32,-1.98,1.98,0.5,-1.25,3.38,-0.8,-0.74,-0.46
193410,1,0.13,3.3,1.86,-0.37,1.95,-1.12,3.11,-0.51,0.29
193411,12.52,14.52,10.12,13,10.89,8.97,5.43,9.81,6.33,5.44
193412,2.92,2.54,0.16,1.23,4.94,3.34,1.15,0.69,1.84,-2.18
193501,-2.2,-3.36,-5.8,-1.54,-2.08,-3.81,-0.71,-2.44,-1.94,-0.16
193502,-1.35,-1.81,2.89,-0.94,0.88,-0.28,1.28,1.88,1.69,-4.07
193503,-3.1,-7.12,-4.2,-5.73,-4.68,-2.94,-3.44,-4.81,-4.56,3.42
193504,10.1,6.79,8.95,6.53,6.64,7.75,4.57,4.03,5.46,10.31
193505,2.73,2.04,4.3,6.1,0.93,0.84,3.59,2.6,-0.12,4.11
193506,9,7.73,5.18,6.37,5.02,5.9,4.03,6.11,6.67,4.9
193507,9.91,6.28,3.83,7.46,3.29,7.28,5.26,6.48,6.62,1.64
193508,1.27,1.45,1.23,-0.46,1.34,2.34,0.83,0.85,0.72,5.14
