Date,Rf,term,def,div
196401,0.2903,0.0723,0.0417,0.2522
196402,0.2873,0.0785,0.0367,0.2452
196403,0.2945,0.0688,0.0392,0.2459
196404,0.294,0.071,0.0375,0.2441
196405,0.2797,0.087,0.0375,0.2439
196406,0.2721,0.0954,0.0367,0.2419
196407,0.2843,0.0833,0.0367,0.2419
196408,0.2716,0.0951,0.0358,0.2365
196409,0.272,0.0955,0.0342,0.2434
196410,0.2936,0.0748,0.0333,0.24
196411,0.2856,0.0828,0.0325,0.2373
196412,0.2978,0.0713,0.0317,0.241
196501,0.2856,0.0844,0.0308,0.2424
196502,0.3237,0.0455,0.0308,0.2339
196503,0.3208,0.0468,0.0308,0.2361
196504,0.3157,0.0527,0.03,0.2408
196505,0.3216,0.0476,0.0308,0.2337
196506,0.311,0.059,0.0308,0.2396
196507,0.3153,0.0564,0.0325,0.2551
196508,0.314,0.0593,0.0333,0.2506
196509,0.3153,0.0589,0.0325,0.2488
196510,0.3322,0.0445,0.0325,0.2417
196511,0.3208,0.0592,0.0308,0.2351
196512,0.3165,0.0668,0.0292,0.2424
196601,0.3555,0.0345,0.0283,0.2393
196602,0.3776,0.0174,0.0267,0.2367
196603,0.3716,0.0268,0.0283,0.2432
196604,0.3682,0.0418,0.0333,0.2507
196605,0.3835,0.0298,0.0375,0.2458
196606,0.3716,0.0434,0.0417,0.2642
196607,0.3767,0.0458,0.0425,0.2676
196608,0.3788,0.0512,0.0433,0.2722
196609,0.3937,0.0488,0.0433,0.3015
196610,0.4298,0.0278,0.05,0.3039
196611,0.3979,0.0529,0.0575,0.2911
196612,0.3555,0.0903,0.065,0.2884
196701,0.3725,0.0767,0.0658,0.2875
196702,0.3788,0.0545,0.0642,0.2686
196703,0.3738,0.0454,0.0658,0.2673
196704,0.3385,0.089,0.06,0.256
196705,0.2878,0.1381,0.06,0.2456
196706,0.2708,0.1659,0.06,0.2587
196707,0.3089,0.1444,0.0592,0.2516
196708,0.3173,0.1477,0.0567,0.2403
196709,0.3216,0.1468,0.0592,0.245
196710,0.3462,0.1247,0.0625,0.2375
196711,0.3458,0.1393,0.0583,0.2476
196712,0.3492,0.1567,0.0542,0.2444
196801,0.3619,0.1539,0.0617,0.2368
196802,0.4006,0.1136,0.0558,0.249
196803,0.3894,0.1189,0.0583,0.2611
196804,0.4043,0.1048,0.0617,0.2574
196805,0.4573,0.0602,0.0633,0.2395
196806,0.4488,0.0737,0.0633,0.2338
196807,0.4404,0.0829,0.0658,0.2325
196808,0.4383,0.0818,0.0617,0.2409
196809,0.4115,0.0902,0.0667,0.2376
196810,0.4302,0.0673,0.0683,0.2272
196811,0.4509,0.0566,0.0625,0.2293
196812,0.403,0.1128,0.0683,0.2148
196901,0.5083,0.0293,0.065,0.2246
196902,0.4999,0.0493,0.0608,0.2235
196903,0.4701,0.0849,0.0533,0.2401
196904,0.4468,0.1241,0.055,0.2351
196905,0.5104,0.0638,0.0542,0.2302
196906,0.4871,0.0788,0.0608,0.2348
196907,0.5401,0.0416,0.06,0.2535
196908,0.5763,0.0138,0.0633,0.2717
196909,0.555,0.0258,0.0742,0.2601
196910,0.5788,0.0162,0.0758,0.2688
196911,0.5571,0.0538,0.0742,0.2559
196912,0.5373,0.0753,0.075,0.2641
197001,0.5656,0.0778,0.0775,0.2703
197002,0.644,0.0152,0.0792,0.2929
197003,0.5253,0.1356,0.0708,0.2769
197004,0.5346,0.1188,0.0658,0.2807
197005,0.5427,0.1098,0.0725,0.3114
197006,0.5258,0.1501,0.0725,0.3285
197007,0.4942,0.2125,0.0642,0.3478
197008,0.4913,0.2121,0.08,0.3273
197009,0.5091,0.1684,0.1092,0.3088
197010,0.4849,0.1893,0.1083,0.2956
197011,0.4395,0.2297,0.1083,0.3029
197012,0.3708,0.3001,0.1108,0.2866
197101,0.3699,0.2668,0.1233,0.2686
197102,0.3385,0.2748,0.115,0.2552
197103,0.2691,0.3209,0.1092,0.2512
197104,0.2838,0.317,0.1042,0.2414
197105,0.3063,0.2978,0.1,0.2343
197106,0.3225,0.305,0.0908,0.244
197107,0.4183,0.2184,0.0925,0.2435
197108,0.4217,0.215,0.0933,0.2504
197109,0.3673,0.2652,0.0975,0.2451
197110,0.3776,0.2424,0.0958,0.246
197111,0.3327,0.2832,0.0908,0.2548
197112,0.319,0.286,0.0933,0.2564
197201,0.2793,0.3249,0.0942,0.2361
197202,0.2606,0.3386,0.0867,0.2307
197203,0.2623,0.3436,0.08,0.2245
197204,0.2903,0.3131,0.0833,0.2218
197205,0.2708,0.3376,0.0783,0.2193
197206,0.2834,0.3249,0.0775,0.2192
197207,0.3021,0.3004,0.0808,0.2238
197208,0.2928,0.3081,0.085,0.2258
197209,0.3589,0.2403,0.0833,0.2172
197210,0.3691,0.2326,0.0725,0.22
197211,0.3784,0.2224,0.0708,0.217
197212,0.4098,0.1836,0.0725,0.213
197301,0.4056,0.1844,0.0708,0.2105
197302,0.4643,0.1316,0.0625,0.2179
197303,0.4649,0.1368,0.0625,0.2269
197304,0.4896,0.1179,0.0617,0.2291
197305,0.4989,0.1061,0.0692,0.2454
197306,0.5439,0.0636,0.0642,0.2485
197307,0.6197,-0.0055,0.0633,0.2517
197308,0.6927,-0.0718,0.0658,0.2407
197309,0.7151,-0.0751,0.0708,0.2499
197310,0.6113,0.0246,0.0833,0.236
197311,0.5773,0.056,0.0675,0.2394
197312,0.6206,0.0186,0.0625,0.2749
197401,0.6137,0.0263,0.0667,0.2749
197402,0.6292,0.0233,0.0542,0.2748
197403,0.6148,0.0394,0.0567,0.2792
197404,0.7083,-0.0408,0.0508,0.2882
197405,0.7309,-0.0434,0.0517,0.3053
