Symbol,Name
DDD,3D Systems Corporation
MMM,3M Company
AHC,A.H. Belo Corporation
AIR,AAR Corp.
AAN,"Aaron&#39;s,  Inc."
ABB,ABB Ltd
ABT,Abbott Laboratories
ANF,Abercrombie & Fitch Company
ABM,ABM Industries Incorporated
AKR,Acadia Realty Trust
ACCO,Acco Brands Corporation
ACW,Accuride Corporation New
ACE,Ace Limited
ACT^A,"Actavis, Inc."
ATU,Actuant Corporation
AYI,Acuity Brands Inc
ADX,"Adams Diversified Equity Fund, Inc."
PEO,"Adams Natural Resources Fund, Inc."
ADT,ADT Corporation
AAP,Advance Auto Parts Inc
ASX,"Advanced Semiconductor Engineering, Inc."
AAV,Advantage Oil & Gas Ltd
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS
AEB,Aegon NV
AED,Aegon NV
AEG,Aegon NV
AEH,Aegon NV
AEK,Aegon NV
AJRD,"Aerojet Rocketdyne Holdings, Inc. "
AET,Aetna Inc.
AFM,"Affiliated Managers Group, Inc."
AMG,"Affiliated Managers Group, Inc."
AFL,Aflac Incorporated
AFSD,Aflac Incorporated
MITT^A,"AG Mortgage Investment Trust, Inc."
MITT^B,"AG Mortgage Investment Trust, Inc."
AGCO,AGCO Corporation
GAS,"AGL Resources, Inc."
AEM,Agnico Eagle Mines Limited
ADC,Agree Realty Corporation
AGU,Agrium Inc.
APD,"Air Products and Chemicals, Inc."
ARG,"Airgas, Inc."
AKS,AK Steel Holding Corporation
ALP^O,Alabama Power Company
ALG,"Alamo Group, Inc."
AGI,Alamos Gold Inc
ALK,"Alaska Air Group, Inc."
AIN,Albany International Corporation
ALB,Albemarle Corporation
ALU,Alcatel Lucent
AA,Alcoa Inc.
AA^B,Alcoa Inc.
ALR,Alere Inc.
ALR^B,Alere Inc.
ALEX,"Alexander & Baldwin Holdings, Inc."
ALX,"Alexander&#39;s, Inc."
ARE,"Alexandria Real Estate Equities, Inc."
ARE^E,"Alexandria Real Estate Equities, Inc."
Y,Alleghany Corporation
ATI,Allegheny Technologies Incorporated
ALE,"Allete, Inc."
AOI,"Alliance One International, Inc."
ACG,ALLIANCEBERNSTEIN INCOME FUND INC
AB,Allianceberstein Holding L.P.
LNT,Alliant Energy Corporation
ALL,Allstate Corporation (The)
ALL^A,Allstate Corporation (The)
ALL^B,Allstate Corporation (The)
ALL^C,Allstate Corporation (The)
ALL^D,Allstate Corporation (The)
ALL^E,Allstate Corporation (The)
ALL^F,Allstate Corporation (The)
ALLY^A,Ally Financial Inc.
ALLY^B,Ally Financial Inc.
BSI,Alon Blue Square Israel Ltd.
RESI,Altisource Residential Corporation
MO,Altria Group
AEE,Ameren Corporation
AMX,"America Movil, S.A.B. de C.V."
AXL,"American Axle & Manufacturing Holdings, Inc."
AEO,"American Eagle Outfitters, Inc."
AEP,"American Electric Power Company, Inc."
AXP,American Express Company
AFG,"American Financial Group, Inc."
AFQ,"American Financial Group, Inc."
AFW,"American Financial Group, Inc."
AMH^A,American Homes 4 Rent
AMH^B,American Homes 4 Rent
AMH^C,American Homes 4 Rent
AIG,"American International Group, Inc."
AIG/WS,"American International Group, Inc."
ARL,"American Realty Investors, Inc."
AWR,American States Water Company
AMT,American Tower Corporation (REIT)
AMT^A,American Tower Corporation (REIT)
AMT^B,American Tower Corporation (REIT)
AVD,American Vanguard Corporation
APU,"AmeriGas Partners, L.P."
AMP,"AMERIPRISE FINANCIAL SERVICES, INC."
ABC,AmerisourceBergen Corporation (Holding Co)
AP,Ampco-Pittsburgh Corporation
APH,Amphenol Corporation
AXR,AMREP Corporation
AME,"AMTEK, Inc."
AFSI^A,"AmTrust Financial Services, Inc."
AFSI^B,"AmTrust Financial Services, Inc."
AFSI^C,"AmTrust Financial Services, Inc."
AFSI^D,"AmTrust Financial Services, Inc."
APC,Anadarko Petroleum Corporation
AU,AngloGold Ashanti Limited
BUD,Anheuser-Busch Inbev SA
AXE,Anixter International Inc.
ANN,ANN INC.
NLY,Annaly Capital Management Inc
NLY^A,Annaly Capital Management Inc
NLY^C,Annaly Capital Management Inc
NLY^D,Annaly Capital Management Inc
ANTM,"Anthem, Inc."
ANH,Anworth Mortgage Asset  Corporation
ANH^A,Anworth Mortgage Asset  Corporation
ANH^B,Anworth Mortgage Asset  Corporation
ANH^C,Anworth Mortgage Asset  Corporation
AOL,AOL Inc.
AON,Aon plc
APA,Apache Corporation
AIV^A,Apartment Investment and Management Company
AIV^Z,Apartment Investment and Management Company
ARI^A,Apollo Commercial Real Estate Finance
AIB,Apollo Investment Corporation
AMTG^A,"Apollo Residential Mortgage, Inc."
AIT,"Applied Industrial Technologies, Inc."
