Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,29.77,30.99,26.94,30.19,1180800,30.19
2014-11-03,30.02,30.90,28.08,29.77,1481900,29.77
2014-10-01,28.19,30.09,23.71,30.02,2003800,30.02
2014-09-02,31.17,31.81,28.22,28.36,1921400,28.36
2014-08-01,30.99,31.79,28.70,30.61,2159700,30.61
2014-07-01,32.80,35.83,30.58,34.17,2078600,34.17
2014-06-02,33.05,34.22,31.11,32.53,3574600,32.53
2014-05-01,25.96,33.30,25.66,33.11,2587300,33.11
2014-04-01,28.35,28.89,24.76,26.09,1541200,26.09
2014-03-03,28.33,30.64,26.69,28.18,2047800,28.18
2014-02-03,25.93,31.42,24.95,28.70,2336400,28.70
2014-01-02,24.34,27.83,23.38,25.90,2204300,25.90
2013-12-02,20.52,24.40,20.18,24.34,2206700,24.34
2013-11-01,17.71,20.60,16.91,20.52,2076600,20.52
2013-10-01,17.01,17.88,16.34,17.85,2337500,17.85
2013-09-03,15.86,17.23,15.54,17.05,1307200,17.05
2013-08-01,15.17,17.07,15.02,15.67,1274800,15.67
2013-07-01,14.36,15.63,14.15,15.04,1013100,15.04
2013-06-03,15.17,15.29,14.07,14.35,1567900,14.35
2013-05-01,16.49,16.99,14.68,15.13,1891400,15.13
2013-04-01,17.10,17.55,16.02,16.51,1067100,16.51
2013-03-01,17.13,17.98,16.92,17.17,922600,17.17
2013-02-01,16.51,17.50,16.00,17.35,1465600,17.35
2013-01-02,15.25,16.93,15.09,16.52,1375900,16.52
2012-12-03,14.08,15.90,14.02,14.94,1482000,14.94
2012-11-01,13.72,14.37,13.48,13.97,797500,13.97
2012-10-01,12.81,13.91,12.40,13.74,658700,13.74
2012-09-04,13.62,14.15,12.79,12.79,719700,12.79
2012-08-01,12.74,13.90,12.46,13.63,654500,13.63
2012-07-02,13.89,14.20,11.80,12.69,1068700,12.69
2012-06-01,12.09,13.98,11.82,13.91,1029800,13.91
2012-05-01,12.89,13.08,11.70,12.33,933900,12.33
2012-04-02,11.23,13.08,10.89,12.93,992200,12.93
2012-03-01,11.42,11.52,10.74,11.30,819100,11.30
2012-02-01,11.74,12.69,11.38,11.39,791700,11.39
2012-01-03,11.00,11.85,10.46,11.69,724800,11.69
2011-12-01,10.60,10.94,9.96,10.82,1012800,10.82
2011-11-01,10.52,11.20,9.97,10.75,1014900,10.75
2011-10-03,10.27,12.75,9.81,10.76,1608500,10.76
2011-09-01,10.98,11.47,9.92,10.30,1286700,10.30
2011-08-01,12.13,12.24,9.60,10.92,1765900,10.92
2011-07-01,11.59,12.59,10.89,12.00,1186900,12.00
2011-06-01,11.29,11.70,10.37,11.61,1304100,11.61
2011-05-02,12.02,12.02,10.50,11.29,1514100,11.29
2011-04-01,12.77,13.06,11.54,12.01,1325600,12.01
2011-03-01,13.28,13.37,11.76,12.74,1150400,12.74
2011-02-01,12.52,14.49,12.20,13.20,1690300,13.20
2011-01-03,11.52,12.80,11.31,12.48,1487800,12.48
2010-12-01,10.19,11.32,10.14,11.22,935500,11.22
2010-11-01,9.37,10.49,9.06,10.01,1470700,10.01
2010-10-01,9.89,10.14,8.90,9.31,1905600,9.31
2010-09-01,8.29,9.90,8.22,9.77,1430700,9.77
2010-08-02,9.42,9.68,8.16,8.18,1508500,8.18
2010-07-01,10.21,12.15,9.28,9.32,2054900,9.32
2010-06-01,10.88,11.26,10.11,10.19,1850900,10.19
2010-05-03,12.31,12.67,10.61,10.97,2104100,10.97
2010-04-01,12.06,13.03,11.90,12.27,1778500,12.27
2010-03-01,10.41,12.90,10.35,12.01,1839500,12.01
2010-02-01,10.05,10.44,9.39,10.32,1663900,10.32
2010-01-04,11.58,11.78,9.94,10.04,1784700,10.04
2009-12-01,10.12,11.62,9.88,11.43,1380300,11.43
2009-11-02,10.29,11.15,9.82,9.99,1344700,9.99
2009-10-01,12.91,12.97,10.13,10.20,2308100,10.20
2009-09-01,13.22,13.75,12.13,13.01,1925500,13.01
2009-08-03,12.37,13.74,12.12,13.26,1779100,13.26
2009-07-01,12.24,13.70,10.87,12.18,2242100,12.18
2009-06-01,12.30,12.91,11.12,12.17,2144000,12.17
2009-05-01,10.67,12.49,9.95,12.11,2596400,12.11
2009-04-01,7.37,11.50,7.21,10.67,2731500,10.67
2009-03-02,6.01,7.96,5.81,7.37,1552400,7.37
2009-02-02,7.01,7.27,5.91,6.12,2480000,6.12
2009-01-02,8.04,8.28,6.73,7.12,1779200,7.12
2008-12-01,6.99,8.05,6.28,7.95,1820900,7.95
2008-11-03,6.94,7.37,5.23,7.19,2132200,7.19
2008-10-01,7.65,7.97,4.47,6.91,2922800,6.91
2008-09-02,9.61,9.75,7.12,7.73,2197900,7.73
2008-08-01,9.55,10.02,9.00,9.46,1787700,9.46
2008-07-01,8.28,9.78,6.67,9.57,3593100,9.57
2008-06-02,9.31,10.39,8.25,8.45,2995800,8.45
2008-05-01,8.08,9.41,7.64,9.36,3196200,9.36
2008-04-01,5.99,8.44,5.84,8.10,3145500,8.10
2008-03-03,5.72,6.16,5.21,5.82,3339900,5.82
2008-02-01,8.85,9.32,4.96,5.75,6616300,5.75
2008-01-02,9.92,10.03,6.91,8.79,3324600,8.79
2007-12-03,10.36,10.59,9.53,9.98,2347700,9.98
2007-11-01,11.29,11.52,9.63,10.43,2839800,10.43
2007-10-01,12.26,12.75,10.88,11.50,3406700,11.50
2007-09-04,15.15,15.40,11.21,12.35,2907200,12.35
2007-08-01,14.82,15.73,12.95,15.18,1877600,15.18
2007-07-02,17.67,17.89,14.21,14.82,2539200,14.82
2007-06-01,16.50,17.74,15.20,17.59,2278900,17.59
2007-05-01,15.30,16.45,14.77,16.45,1927100,16.45
2007-04-02,14.15,16.30,13.93,14.82,3244200,14.82
2007-03-01,12.83,14.22,12.63,14.08,2317700,14.08
2007-02-01,14.54,15.45,12.87,13.14,4011500,13.14
2007-01-03,12.63,14.24,12.32,14.21,3365400,14.21
2006-12-01,11.89,12.86,11.43,12.51,2168800,12.51
2006-11-01,13.47,13.47,11.38,11.92,3465600,11.92
2006-10-02,11.49,13.80,10.84,13.40,2537300,13.40
2006-09-01,11.50,12.05,11.16,11.46,1222000,11.46
2006-08-01,10.72,11.54,10.12,11.46,1286100,11.46
2006-07-03,13.10,13.12,9.25,10.69,2544500,10.69
2006-06-01,11.95,13.13,10.85,13.12,1658100,13.12
2006-05-01,12.24,13.01,10.66,12.02,2094100,12.02
2006-04-03,13.80,14.22,11.48,11.85,2495400,11.85
2006-03-01,12.68,14.29,11.99,13.76,1609300,13.76
2006-02-01,11.70,14.30,10.70,12.69,2693200,12.69
2006-01-03,9.63,11.89,9.50,11.75,1710500,11.75
2005-12-01,9.72,11.00,9.31,9.47,1744600,9.47
2005-11-01,8.27,9.73,7.99,9.72,2549100,9.72
2005-10-03,11.90,12.79,7.12,8.27,3597300,8.27
2005-09-01,10.57,12.17,10.56,11.86,2076100,11.86
2005-08-01,11.28,11.50,9.95,10.49,1744400,10.49
2005-07-01,8.65,11.50,8.50,11.04,1893100,11.04
2005-06-01,8.62,9.18,8.13,8.71,1381400,8.71
2005-05-02,7.64,8.80,7.39,8.66,1796600,8.66
2005-04-01,6.92,7.84,6.28,7.53,1397600,7.53
2005-03-01,6.30,6.93,6.20,6.91,1069800,6.91
2005-02-01,6.29,6.95,5.45,6.35,1725900,6.35
2005-01-03,7.11,7.27,5.91,6.19,1287500,6.19
2004-12-01,5.72,7.23,5.64,7.04,1484200,7.04
2004-11-01,4.64,5.96,4.60,5.69,958600,5.69
2004-10-01,5.22,5.69,4.34,4.65,1259200,4.65
2004-09-01,4.53,5.35,4.45,5.22,714200,5.22
2004-08-02,4.38,4.71,3.73,4.56,1052600,4.56
2004-07-01,6.00,6.04,4.10,4.40,1325100,4.40
2004-06-01,6.25,6.31,5.04,5.94,1657100,5.94
2004-05-03,5.98,6.38,4.42,6.32,3077800,6.32
2004-04-01,9.20,9.92,5.88,5.98,3410200,5.98
2004-03-01,10.46,10.69,7.30,9.14,2691700,9.14
2004-02-02,9.30,11.40,8.99,10.37,2451000,10.37
2004-01-02,7.32,10.74,7.28,9.19,4180100,9.19
2003-12-01,6.64,7.58,6.15,7.24,1861400,7.24
2003-11-03,6.00,6.79,5.29,6.45,1601800,6.45
2003-10-01,5.48,6.31,4.85,6.00,1203500,6.00
2003-09-02,4.96,6.59,4.90,5.75,1460700,5.75
2003-08-01,5.12,5.33,4.10,4.91,785500,4.91
2003-07-01,4.91,5.46,4.16,4.99,945000,4.99
2003-06-02,5.23,6.70,4.41,4.96,1848900,4.96
2003-05-01,3.91,5.40,3.85,5.20,1123400,5.20
2003-04-01,3.73,5.18,3.63,3.90,846500,3.90
2003-03-03,4.85,5.10,3.23,3.70,2325600,3.70
2003-02-03,3.67,5.73,3.61,4.80,661400,4.80
2003-01-02,3.65,4.75,3.40,3.69,559100,3.69
2002-12-02,3.39,4.03,2.05,3.57,451300,3.57
2002-11-01,1.74,3.72,1.66,3.33,537100,3.33
2002-10-01,3.67,4.09,1.50,1.74,749700,1.74
2002-09-03,3.89,4.37,3.20,3.70,293500,3.70
2002-08-01,4.05,4.84,3.05,3.86,444200,3.86
2002-07-01,4.48,5.10,3.04,4.09,696700,4.09
2002-06-03,6.50,6.98,3.13,4.48,1324400,4.48
2002-05-01,8.55,9.47,6.38,6.50,736800,6.50
2002-04-01,9.28,9.90,7.92,8.68,508100,8.68
2002-03-01,8.50,10.15,8.44,9.30,384000,9.30
2002-02-01,9.24,10.70,8.10,8.48,399000,8.48
2002-01-02,9.53,10.70,7.71,9.20,522400,9.20
2001-12-03,7.74,11.65,7.70,9.76,506500,9.76
2001-11-01,5.56,9.30,5.38,8.10,296000,8.10
2001-10-01,3.58,6.30,3.18,5.89,681000,5.89
2001-09-04,7.12,7.90,2.68,3.58,595300,3.58
2001-08-01,10.45,11.10,6.50,7.24,470100,7.24
2001-07-02,12.24,13.59,8.52,10.30,765300,10.30
2001-06-01,11.69,15.76,9.50,12.40,1165000,12.40
2001-05-01,8.39,14.09,8.17,11.68,512800,11.68
2001-04-02,7.3125,9.12,5.25,8.24,412600,8.24
2001-03-01,8.875,9.50,6.625,7.28125,368500,7.28125
