Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,40.82,41.50,37.56,39.58,2947800,39.01277
2014-11-03,41.53,41.97,38.33,40.77,3262700,40.18571
2014-10-01,40.72,41.99,37.64,41.48,3046900,40.34862
2014-09-02,41.07,41.50,39.45,40.89,4009400,39.77471
2014-08-01,39.11,41.69,38.25,40.99,3721000,39.87199
2014-07-01,36.22,45.67,35.70,39.24,6013800,37.66871
2014-06-02,37.74,38.10,35.69,36.20,3563600,34.75044
2014-05-01,34.91,38.21,34.42,37.67,6219600,35.6481
2014-04-01,32.81,34.93,32.45,34.91,4893400,33.03624
2014-03-03,31.02,32.98,30.34,32.84,5602200,31.07735
2014-02-03,28.90,31.48,27.93,31.26,6364400,29.08076
2014-01-02,31.74,31.82,28.31,28.86,5892900,26.84807
2013-12-02,30.63,32.10,29.93,31.85,6259500,29.62963
2013-11-01,33.84,34.06,30.54,30.70,5383600,28.5598
2013-10-01,31.34,34.18,31.01,33.86,4467400,30.96461
2013-09-03,33.32,33.34,31.21,31.38,5231300,28.69667
2013-08-01,36.06,36.45,32.26,33.12,6413200,29.79091
2013-07-01,35.32,36.49,34.90,35.85,3943700,32.2465
2013-06-03,34.12,36.59,33.83,35.35,5480000,31.79676
2013-05-01,37.47,38.40,34.13,34.15,7122200,30.71738
2013-04-01,35.11,37.90,34.66,37.57,5226800,33.28909
2013-03-01,34.53,35.84,34.00,35.13,6037200,31.12712
2013-02-01,40.74,42.01,32.05,34.67,13531200,30.25356
2013-01-02,39.90,40.88,39.42,40.45,5020200,35.29728
2012-12-03,38.99,40.16,37.61,39.12,5371200,34.1367
2012-11-01,38.39,40.49,36.52,38.84,5073000,33.25956
2012-10-01,40.15,40.41,38.02,38.38,4893100,32.86565
2012-09-04,42.22,43.08,40.02,40.40,5924500,34.59542
2012-08-01,41.71,43.43,41.24,42.26,6896900,35.57732
2012-07-02,39.49,41.84,38.96,41.54,5266900,34.97118
2012-06-01,37.99,39.63,36.91,39.49,5515800,33.24535
2012-05-01,38.58,39.89,37.79,39.22,5849900,32.40769
2012-04-02,38.69,39.04,37.76,38.56,3982500,31.86233
2012-03-01,40.32,40.42,38.04,38.65,4445200,31.9367
2012-02-01,37.16,40.54,36.57,40.25,8061400,32.65446
2012-01-03,37.66,38.04,36.25,37.03,5592700,30.0421
2011-12-01,37.34,37.53,34.81,37.20,5744700,30.18002
2011-11-01,34.48,38.01,34.11,37.52,8316900,29.84205
2011-10-03,33.00,36.03,31.16,35.26,5698900,28.04453
2011-09-01,35.34,35.44,32.49,33.12,6511500,26.34245
2011-08-01,37.61,37.77,31.75,36.15,9675100,28.17577
2011-07-01,40.44,41.32,36.42,37.11,6062200,28.924
2011-06-01,43.21,43.30,38.97,40.43,4606900,31.51165
2011-05-02,41.15,43.49,39.28,43.19,5436100,33.091
