Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,129.61,136.11,126.47,130.47,789200,130.47
2014-11-03,122.00,130.86,122.00,129.19,903900,129.19
2014-10-01,118.50,124.00,106.82,122.98,1355400,122.98
2014-09-02,124.50,128.30,117.60,118.74,821000,118.74
2014-08-01,109.01,124.80,109.01,124.19,985400,124.19
2014-07-01,112.00,117.77,108.03,112.59,1214100,112.59
2014-06-02,108.93,114.14,106.57,111.44,996600,111.44
2014-05-01,104.65,110.75,99.93,108.55,1239900,108.55
2014-04-01,107.05,112.84,99.26,105.17,1708000,105.17
2014-03-03,110.30,116.71,103.14,106.63,1668000,106.63
2014-02-03,104.58,114.86,102.24,112.34,1771300,112.34
2014-01-02,90.42,110.90,87.47,107.02,2688300,107.02
2013-12-02,82.11,91.28,81.20,90.86,1517300,90.86
2013-11-01,81.47,85.49,78.14,82.26,1961300,82.26
2013-10-01,86.10,93.25,81.07,81.54,2263900,81.54
2013-09-03,84.22,94.66,84.11,85.81,1321100,85.81
2013-08-01,88.26,94.33,82.27,83.38,1403900,83.38
2013-07-01,70.00,92.79,68.22,87.80,2260400,87.80
2013-06-03,80.60,80.95,67.53,68.80,1830000,68.80
2013-05-01,76.10,86.22,73.00,83.21,1514300,83.21
2013-04-01,88.84,92.57,70.60,76.43,2478800,76.43
2013-03-01,94.22,95.67,86.33,89.08,1414000,89.08
2013-02-01,106.35,107.99,92.01,94.43,1623200,94.43
2013-01-02,100.03,107.37,93.20,104.88,1708000,104.88
2012-12-03,94.18,99.39,89.61,97.15,1360200,97.15
2012-11-01,82.32,95.20,81.57,93.68,2028100,93.68
2012-10-01,105.72,108.37,81.07,82.59,2229900,82.59
2012-09-04,97.27,111.58,93.62,104.64,1989100,104.64
2012-08-01,94.44,104.88,90.29,97.49,1517800,97.49
2012-07-02,98.45,103.13,88.30,93.38,2594800,93.38
2012-06-01,100.00,107.19,92.09,99.56,1877600,99.56
2012-05-01,132.94,138.67,99.47,103.48,2181300,103.48
2012-04-02,135.05,139.46001,120.01,133.92999,1915800,133.92999
2012-03-01,125.74,136.46001,119.50,134.96001,1150800,134.96001
2012-02-01,121.17,130.27,119.50,124.96,1208100,124.96
2012-01-03,108.48,124.29,99.60,119.74,2019100,119.74
2011-12-01,111.50,117.30,99.59,106.12,1649500,106.12
2011-11-01,100.28,113.60,97.59,113.03,1894000,113.03
2011-10-03,70.61,107.95,69.60,103.95,2692100,103.95
2011-09-01,81.50,86.16,70.83,71.05,2529900,71.05
2011-08-01,95.52,96.39,69.01,81.57,3559600,81.57
2011-07-01,110.83,119.69,92.30,93.48,2970700,93.48
2011-06-01,112.10,114.90,96.21,110.25,2469100,110.25
2011-05-02,100.42,114.54,97.26,113.58,2365100,113.58
2011-04-01,100.58,111.63,92.03,101.36,4039200,101.36
2011-03-01,118.58,118.60,91.10,102.57,4496400,102.57
2011-02-01,109.56,129.92,107.81,118.01,3699600,118.01
2011-01-03,132.89,145.75999,102.66,108.38,4522200,108.38
2010-12-01,134.11,143.75,129.14,130.16,2807200,130.16
2010-11-01,117.98,136.00,112.10,131.88,2373700,131.88
2010-10-01,104.82,119.88,89.05,117.70,3952600,117.70
2010-09-01,89.84,107.30,89.21,103.81,1734500,103.81
2010-08-02,87.96,92.70,80.00,87.43,1609800,87.43
2010-07-01,68.51,88.34,66.79,87.83,1924200,87.83
2010-06-01,70.02,77.10,64.39,68.57,1730500,68.57
2010-05-03,67.33,74.00,60.50,70.33,1966800,70.33
2010-04-01,61.69,72.60,61.44,68.43,1410300,68.43
2010-03-01,56.11,65.10,56.00,61.63,1321900,61.63
2010-02-01,49.53,56.16,47.11,55.80,1249400,55.80
2010-01-04,53.35,56.19,49.27,49.43,1404400,49.43
2009-12-01,47.44,53.59,47.39,52.97,1100600,52.97
2009-11-02,43.50,50.61,43.50,47.03,1337700,47.03
2009-10-01,39.62,49.00,37.93,44.89,2016100,44.89
2009-09-01,34.46,40.17,33.61,39.63,1489000,39.63
2009-08-03,36.31,38.59,33.43,34.50,1595900,34.50
2009-07-01,34.84,38.80,32.47,37.12,2265700,37.12
2009-06-01,31.81,36.28,31.47,34.61,2203600,34.61
2009-05-01,26.90,31.80,25.62,31.76,2188900,31.76
