Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,71.60,74.27,68.31,71.82,762100,71.3784
2014-11-03,69.70,72.13,69.55,71.67,523000,71.22932
2014-10-01,66.34,70.05,60.78,69.60,670300,68.71012
2014-09-02,71.26,71.58,66.40,66.40,501200,65.55103
2014-08-01,68.05,71.90,67.93,71.39,504600,70.00552
2014-07-01,76.00,76.50,66.85,68.27,737200,66.94602
2014-06-02,77.25,77.90,74.55,75.75,533900,74.28096
2014-05-01,73.34,79.32,72.74,77.25,583300,75.75187
2014-04-01,73.25,75.26,68.63,73.52,568000,71.7032
2014-03-03,73.03,75.33,71.78,73.16,591700,71.3521
2014-02-03,69.34,74.23,66.34,73.82,793100,71.59158
2014-01-02,69.63,72.33,67.01,69.34,845700,67.24682
2013-12-02,64.62,70.73,63.65,69.81,620000,67.70264
2013-11-01,62.00,65.87,61.28,64.51,570300,62.56263
2013-10-01,59.04,62.81,57.21,61.96,679700,59.69643
2013-09-03,57.32,59.75,56.50,59.30,698800,57.13361
2013-08-01,57.36,58.50,55.46,56.63,681100,54.16896
2013-07-01,49.68,57.70,48.75,57.07,745400,54.58984
2013-06-03,50.23,50.70,47.69,49.25,713000,47.10968
2013-05-01,45.92,51.46,45.20,50.13,879900,47.95144
2013-04-01,46.29,46.66,41.08,46.20,1194600,43.87306
2013-03-01,47.85,48.17,43.70,46.34,1066500,44.00601
2013-02-01,46.04,48.49,45.61,48.07,895400,45.29202
2013-01-02,49.87,50.53,46.15,46.20,863800,43.53009
2012-12-03,47.17,50.35,46.25,48.96,826000,46.13058
2012-11-01,45.79,49.47,45.74,47.13,937500,44.40634
2012-10-01,51.27,52.23,45.62,45.78,1110700,42.7918
2012-09-04,46.99,51.68,46.07,51.22,1009500,47.87672
2012-08-01,41.65,47.60,41.20,47.03,801000,43.61266
2012-07-02,41.50,43.33,39.02,41.65,749700,38.62359
2012-06-01,39.06,42.49,38.80,41.85,802900,38.80906
2012-05-01,43.98,45.55,38.33,39.78,1172800,36.88947
2012-04-02,45.11,45.79,42.93,45.54,796200,41.88443
2012-03-01,43.85,45.42,42.52,45.08,708200,41.46136
2012-02-01,41.21,44.01,40.62,43.63,1060900,39.82535
2012-01-03,36.76,41.33,35.98,41.00,1290700,37.42469
2011-12-01,35.45,37.11,33.75,36.04,905300,32.89722
2011-11-01,36.55,38.50,33.24,35.60,1061900,32.49558
2011-10-03,33.86,39.92,32.68,37.75,1385800,34.20625
2011-09-01,40.48,41.21,34.13,34.17,1557300,30.96232
2011-08-01,40.41,41.30,34.15,40.35,2149100,36.30418
2011-07-01,45.23,45.67,39.60,39.87,1262200,35.87231
2011-06-01,49.30,49.30,43.75,45.06,1100300,40.54192
