Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,49.81,54.90,49.45,52.90,388200,52.49044
2014-11-03,49.57,51.29,48.09,49.88,420700,49.49382
2014-10-01,39.79,49.95,38.64,49.43,516400,49.0473
2014-09-02,44.39,45.00,39.40,39.82,410600,39.31104
2014-08-01,44.15,45.78,41.92,44.37,340900,43.80288
2014-07-01,48.00,48.93,44.05,44.09,387700,43.52646
2014-06-02,38.00,49.10,37.12,47.80,837900,46.9946
2014-05-01,33.72,38.48,33.03,37.99,381900,37.3499
2014-04-01,33.10,35.83,31.45,34.72,353900,34.13499
2014-03-03,30.16,33.60,30.01,33.11,352500,32.45381
2014-02-03,28.69,31.30,26.25,30.50,506700,29.89553
2014-01-02,29.42,30.13,27.61,28.75,445400,28.18022
2013-12-02,33.85,34.27,28.53,29.49,680000,28.80723
2013-11-01,38.88,38.93,31.83,33.89,522500,33.10536
2013-10-01,37.43,39.87,34.47,38.73,490500,37.8333
2013-09-03,36.06,38.95,35.44,37.34,290200,36.37942
2013-08-01,40.11,41.24,35.02,35.54,351300,34.62572
2013-07-01,35.51,40.97,35.50,39.73,419500,38.70794
2013-06-03,46.00,47.36,42.63,44.65,356500,43.38873
2013-05-01,44.25,48.60,43.13,45.97,298600,44.67144
2013-04-01,47.66,48.00,38.60,44.41,349200,43.15551
2013-03-01,44.23,48.68,43.59,47.83,379500,46.373
2013-02-01,43.69,45.88,42.30,44.40,585700,43.04749
2013-01-02,42.36,46.14,41.67,43.39,444700,42.06825
2012-12-03,42.93,45.24,39.61,41.09,635400,39.83831
2012-11-01,38.24,43.09,37.55,42.68,644500,39.89073
2012-10-01,37.44,38.28,33.06,38.09,631000,35.6007
2012-09-04,33.63,37.29,32.78,37.27,1194700,34.74211
2012-08-01,27.50,34.74,27.27,33.75,745800,31.46086
2012-07-02,29.38,29.65,25.00,27.30,580000,25.44834
2012-06-01,24.23,30.28,22.37,29.51,1104800,27.41236
2012-05-01,27.90,28.30,24.42,24.69,847400,22.93498
2012-04-02,34.82,35.25,26.60,27.72,1027400,25.7496
2012-03-01,37.89,39.43,34.75,34.86,541800,32.28621
2012-02-01,37.51,41.08,36.22,37.85,1096700,35.05545
2012-01-03,44.18,46.75,35.00,37.31,1689800,34.55532
2011-12-01,44.16,44.85,38.51,43.57,925900,40.35313
2011-11-01,42.24,51.40,40.35,43.96,1149600,40.62218
2011-10-03,46.56,52.60,43.37,43.45,1420100,40.1509
2011-09-01,70.90,72.83,44.01,46.58,2300300,42.95084
2011-08-01,68.11,76.99,58.51,70.40,3243900,64.91496
2011-07-01,46.75,82.50,41.20,68.25,3100900,62.93248
2011-06-01,42.92,43.04,34.61,40.85,765100,37.57507
2011-05-02,45.96,46.43,40.52,43.01,674600,39.5619
2011-04-01,47.92,49.57,44.44,46.29,776900,42.57895
2011-03-01,48.18,48.18,40.15,47.71,1078400,43.79454
2011-02-01,48.55,58.64,45.88,47.61,1430300,43.70275
2011-01-03,42.27,51.03,41.88,48.15,1262100,44.19843
2010-12-01,33.49,43.35,33.49,41.64,866100,38.1412
2010-11-01,33.95,36.81,32.75,33.07,778800,30.29129
2010-10-01,29.75,33.95,28.90,33.57,555700,30.74928
2010-09-01,25.12,29.66,25.11,29.61,477800,27.12202
2010-08-02,27.75,27.75,24.39,24.72,411500,22.6429
2010-07-01,24.68,28.47,23.73,27.29,398500,24.99696
2010-06-01,26.03,26.39,24.24,24.69,367800,22.61542
2010-05-03,27.79,28.61,22.30,26.10,591800,23.90695
2010-04-01,27.90,29.98,27.24,27.67,550700,25.34503
2010-03-01,25.68,28.34,25.59,27.86,458200,25.51906
2010-02-01,24.93,26.63,23.37,25.65,333000,23.49476
2010-01-04,26.94,27.98,24.64,24.79,508500,22.70702
2009-12-01,24.00,27.20,23.81,26.56,470900,24.32829
2009-11-02,20.46,24.20,19.74,23.79,831700,21.79105
2009-10-01,23.05,24.87,18.41,20.56,1352600,18.83245
2009-09-01,21.00,24.22,20.79,23.16,554700,21.21398
2009-08-03,30.00,31.79,20.64,20.96,1156500,19.19884
2009-07-01,24.53,29.99,22.50,29.61,531600,27.12202
2009-06-01,25.72,27.16,23.22,24.44,555300,22.38643
2009-05-01,26.39,29.75,24.10,25.62,753500,23.46728
2009-04-01,25.17,27.70,24.85,26.32,661400,24.10846
2009-03-02,29.26,29.52,20.43,25.82,1316800,23.65047
2009-02-02,32.07,33.69,28.27,29.38,880100,26.91134
2009-01-02,27.54,33.32,25.43,32.33,898600,29.61347
2008-12-01,26.41,27.80,22.77,27.50,757200,25.18931
2008-11-03,21.86,28.98,19.40,26.52,862800,24.29166
2008-10-01,23.86,24.32,16.20,21.78,733700,19.94994
2008-09-02,26.91,27.47,20.55,24.05,820700,22.0292
2008-08-01,26.00,27.25,24.00,26.54,599400,24.30998
2008-07-01,24.11,28.00,18.01,23.21,1218000,21.25978
2008-06-02,24.86,27.89,24.24,24.32,665900,22.27651
2008-05-01,20.28,25.39,20.25,24.99,667500,22.89021
2008-04-01,19.91,21.31,17.65,20.27,822500,18.56681
2008-03-03,17.47,23.22,16.53,19.81,1395300,18.14546
2008-02-01,20.30,20.70,17.06,17.39,636000,15.9288
2008-01-02,23.34,23.49,18.77,20.21,772600,18.51185
2007-12-03,17.76,24.49,16.47,23.33,947500,21.3697
2007-11-01,21.50,23.94,17.38,18.00,987600,16.48755
2007-10-01,20.86,25.50,19.80,21.49,853600,19.6843
2007-09-04,23.24,24.98,20.23,20.78,1006500,19.03396
2007-08-01,27.99,28.64,19.55,23.11,1025600,21.16818
2007-07-02,32.18,32.97,27.21,27.95,514600,25.6015
2007-06-01,32.55,34.10,31.25,32.17,1036100,29.46691
2007-05-01,32.88,33.27,31.04,32.54,949500,29.80583
2007-04-02,31.87,35.25,31.45,32.88,674700,30.11726
2007-03-01,33.58,34.39,30.51,31.67,871600,29.00893
2007-02-01,34.91,35.74,31.10,34.72,580100,31.80265
2007-01-03,33.71,35.00,32.80,34.69,608600,31.77517
2006-12-01,32.04,34.54,28.81,33.55,776300,30.73096
2006-11-01,34.08,34.34,29.37,31.95,922700,29.2654
2006-10-02,34.16,36.91,33.77,35.76,834200,32.75526
2006-09-01,33.35,35.27,30.21,34.10,1223700,31.23475
2006-08-01,27.26,33.42,25.85,33.23,929600,30.43785
2006-07-03,35.02,35.44,23.92,27.41,1683500,25.10687
2006-06-01,28.16,35.04,27.12,34.91,1540000,31.97669
2006-05-01,25.53,28.66,24.66,28.35,836300,25.96789
2006-04-03,24.65,29.13,21.41,25.32,1106100,23.19249
2006-03-01,25.93,27.52,23.94,24.52,672900,22.45971
2006-02-01,25.90,26.47,23.78,25.75,525100,23.58636
2006-01-03,18.38,25.95,17.74,25.83,952200,23.65963
2005-12-01,19.58,20.35,17.25,18.32,490000,16.78066
2005-11-01,19.02,20.16,18.02,19.48,314800,17.84319
2005-10-03,19.55,20.58,17.65,19.19,401200,17.57756
2005-09-01,17.69,19.90,17.37,19.64,405100,17.98975
2005-08-01,17.91,18.79,17.38,17.78,399600,16.28604
2005-07-01,17.50,20.15,16.68,17.95,648500,16.44175
2005-06-01,18.66,19.00,16.67,17.50,495000,16.02956
2005-05-02,17.24,18.67,13.81,18.46,717000,16.9089
2005-04-01,15.75,17.45,15.32,16.36,542900,14.98535
2005-03-01,17.36,17.82,15.14,15.32,480100,14.03274
2005-02-01,17.96,18.62,16.72,17.33,425200,15.87385
2005-01-03,22.12,22.44,16.65,17.86,731500,16.35931
2004-12-01,20.50,23.50,20.25,22.10,438600,20.24305
2004-11-01,16.31,21.61,15.53,20.35,594800,18.64009
2004-10-01,16.47,17.01,15.34,15.90,258900,14.564
2004-09-01,15.68,16.75,15.19,16.32,358300,14.94871
2004-08-02,18.99,19.38,13.89,15.59,652400,14.28005
2004-07-01,18.80,19.46,17.15,19.24,594200,17.62336
2004-06-01,16.85,19.23,16.54,18.81,545000,17.22949
2004-05-03,19.00,19.15,15.00,16.96,679500,15.53493
2004-04-01,17.44,19.50,15.67,17.38,884300,15.91964
2004-03-01,26.68,27.87,15.81,17.48,1339300,16.01124
2004-02-02,24.49,27.45,22.66,26.56,830700,24.32829
2004-01-02,20.42,25.80,20.42,24.36,895200,22.31315
2003-12-01,20.51,21.13,18.17,20.60,451600,18.86909
2003-11-03,17.24,21.00,17.23,20.44,758200,18.72253
2003-10-01,15.17,17.65,15.00,16.99,450000,15.56241
2003-09-02,17.90,18.78,14.80,15.03,805600,13.7671
2003-08-01,15.58,18.15,13.90,17.75,1269100,16.25856
2003-07-01,23.35,26.25,15.46,15.88,1607100,14.54568
2003-06-02,25.80,28.85,21.33,23.39,1168200,21.42465
2003-05-01,22.78,27.50,22.13,25.67,1122100,23.51308
2003-04-01,22.09,22.59,18.21,22.53,1105200,20.63692
2003-03-03,14.58,24.14,12.90,22.63,1464700,20.72851
2003-02-03,12.08,14.50,11.50,14.38,497100,13.17172
2003-01-02,14.65,16.99,11.78,12.12,661200,11.10162
2002-12-02,18.93,19.35,14.40,14.56,646400,13.3366
2002-11-01,12.83,19.50,12.05,18.25,856700,16.71654
2002-10-01,8.72,13.45,8.63,13.00,433400,11.90767
2002-09-03,8.81,9.66,8.10,8.70,238900,7.96898
2002-08-01,7.13,9.57,6.22,8.92,241000,8.1705
2002-07-01,8.89,9.50,6.75,7.17,286300,6.56754
2002-06-03,11.63,11.92,7.75,9.05,283800,8.28957
2002-05-01,11.26,13.74,9.81,11.68,318700,10.69859
2002-04-01,9.30,13.08,9.26,11.35,338400,10.39632
2002-03-01,8.46,10.47,8.33,9.59,147300,8.7842
2002-02-01,11.33,11.65,8.20,8.35,221800,7.64839
2002-01-02,9.90,13.40,9.15,11.59,441400,10.61615
2001-12-03,9.40,11.76,9.06,9.70,282000,8.88496
2001-11-01,7.90,10.30,7.70,9.31,198000,8.52773
2001-10-01,7.18,9.18,6.50,8.02,176800,7.34612
2001-09-04,9.31,9.74,5.00,7.33,363200,6.7141
2001-08-01,12.24,12.69,8.10,9.01,180400,8.25293
2001-07-02,13.19,13.50,10.83,11.95,180500,10.9459
