Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,123.00,128.20,112.22,122.57,1288500,122.57
2014-11-03,105.72,123.22,102.02,123.00,1744500,123.00
2014-10-01,97.79,108.50,87.83,105.70,2481800,105.70
2014-09-02,85.40,102.45,85.36,98.10,2520600,98.10
2014-08-01,80.37,87.79,76.86,84.99,1157300,84.99
2014-07-01,84.23,85.60,73.12,80.86,1479100,80.86
2014-06-02,75.12,85.78,72.00,83.85,1914900,83.85
2014-05-01,63.90,78.00,57.47,74.91,2153400,74.91
2014-04-01,70.50,72.50,59.20,63.58,2139300,63.58
2014-03-03,69.79,80.84,66.38,68.60,2146000,68.60
2014-02-03,61.08,79.99,57.02,71.15,2107900,71.15
2014-01-02,56.71,64.92,54.70,59.45,1299900,59.45
2013-12-02,49.13,57.90,48.09,57.47,1183000,57.47
2013-11-01,42.12,50.43,40.36,49.95,1150000,49.95
2013-10-01,45.67,48.04,42.04,42.16,936600,42.16
2013-09-03,47.73,50.50,44.58,45.82,1576200,45.82
2013-08-01,49.26,50.12,47.04,48.02,405700,48.02
2013-07-01,42.23,50.91,40.90,48.94,808400,48.94
2013-06-03,48.70,48.70,39.08,42.16,1533600,42.16
2013-05-01,53.89,56.60,47.00,48.52,1444200,48.52
2013-04-01,56.50,56.50,50.29,54.10,753200,54.10
2013-03-01,58.55,62.19,53.30,56.60,1575300,56.60
2013-02-01,55.69,61.15,52.85,61.13,843300,61.13
2013-01-02,54.52,57.65,47.00,55.36,1027500,55.36
2012-12-03,54.42,55.00,47.63,53.52,705700,53.52
2012-11-01,55.75,57.34,50.01,54.42,515800,54.42
2012-10-01,61.61,67.00,54.00,54.98,747100,54.98
2012-09-04,65.30,72.61,61.27,61.57,720300,61.57
2012-08-01,58.72,68.50,53.27,64.38,251900,64.38
2012-07-20,55.15,62.07,51.10,57.14,1318600,57.14
