Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,25.56,26.37,22.77,25.25,485700,25.10753
2014-11-03,25.69,26.49,24.62,25.56,510100,25.27305
2014-10-01,23.95,26.11,22.19,25.64,615300,25.35215
2014-09-02,26.32,26.93,23.76,23.96,454700,23.69101
2014-08-01,24.52,26.42,23.08,26.34,709600,25.91098
2014-07-01,26.20,26.37,24.29,25.00,699400,24.59281
2014-06-02,27.70,27.78,24.67,26.11,653200,25.68473
2014-05-01,27.30,28.41,26.19,27.71,545600,27.1201
2014-04-01,26.26,27.24,25.95,27.19,624200,26.61117
2014-03-03,23.27,26.22,23.08,26.21,896300,25.65203
2014-02-03,27.04,27.09,21.30,22.79,792400,22.17836
2014-01-02,25.76,27.90,25.35,27.02,788200,26.29483
2013-12-02,27.79,28.03,24.22,25.78,754300,25.08811
2013-11-01,31.16,31.20,27.73,27.81,548300,26.9236
2013-10-01,29.62,31.52,28.15,31.18,662500,30.18619
2013-09-03,28.01,29.83,27.27,29.55,605400,28.60814
2013-08-01,26.74,29.63,26.34,27.69,762300,26.68882
2013-07-01,24.65,27.72,23.21,26.51,703500,25.55149
2013-06-03,23.34,24.74,21.71,24.65,596600,23.75874
2013-05-01,22.49,24.87,21.94,23.25,668700,22.28497
2013-04-01,21.08,22.47,20.57,22.44,618700,21.50859
2013-03-01,22.84,22.88,20.79,21.07,681300,20.19545
2013-02-01,25.47,26.17,22.76,22.89,753900,21.81415
2013-01-02,22.82,25.44,22.07,25.29,655900,24.10135
2012-12-03,23.11,23.73,21.68,22.14,547400,21.0994
2012-11-01,24.93,26.99,21.67,23.01,803000,21.81013
2012-10-01,25.76,26.24,24.11,24.87,543900,23.57314
2012-09-04,24.46,26.25,24.12,25.61,491700,24.27455
2012-08-01,24.37,25.06,22.48,24.52,567100,23.12818
2012-07-02,21.38,24.27,21.30,24.23,1019500,22.85464
2012-06-01,19.55,21.90,19.20,21.29,625900,20.08152
2012-05-01,24.35,24.77,19.59,19.85,586700,18.61233
2012-04-02,23.12,24.68,22.26,24.29,663800,22.77549
2012-03-01,25.36,25.61,22.79,23.15,543500,21.70657
2012-02-01,26.58,29.14,25.26,25.27,601400,23.57677
2012-01-03,26.48001,29.32,25.66001,26.30,598200,24.53775
2011-12-01,26.86,27.24,24.20,25.89,740200,22.22192
2011-11-01,22.53,27.33,22.09,26.99,702000,23.05499
2011-10-03,21.19,24.81,19.33,23.18,755600,19.80047
2011-09-01,25.77,25.83,20.54,21.25,847700,18.15186
2011-08-01,28.62,28.62,20.30,25.63,747100,21.78273
2011-07-01,31.15,32.00,28.12,28.36,355400,24.10293
2011-06-01,32.56,32.86,29.79,31.08001,477400,26.41464
2011-05-02,33.56001,35.84,31.08001,32.70,687300,27.68432
2011-04-01,33.79,34.40,31.85,33.56001,265400,28.41241
2011-03-01,33.70,34.03,31.05,33.70,361000,28.53094
2011-02-01,36.06,36.34999,32.06,33.65,413800,28.38355
2011-01-03,36.89,37.41999,35.48,35.75,261600,30.15488
2010-12-01,36.29,37.91,35.79,36.55001,244600,30.82968
2010-11-01,35.00,36.79,34.60001,35.68,281800,30.00192
2010-10-01,33.05,34.93999,32.60,34.83,319200,29.28719
2010-09-01,29.33,33.65,29.28,32.80,294600,27.58023
2010-08-02,34.74,34.96,28.84,28.89,286600,24.20491
2010-07-01,30.32,34.48,29.67,34.13,281300,28.59513
2010-06-01,32.75,33.11,30.11,30.39,383300,25.46165
2010-05-03,34.90001,35.48,30.26001,32.88,324600,27.45203
2010-04-01,34.13,35.73999,33.84,34.66,253300,28.93818
2010-03-01,31.38,34.83,31.25,33.85,385000,28.2619
2010-02-01,31.70,32.30,29.54,31.21,354000,25.97195
2010-01-04,34.25,35.00,31.55,31.55,250600,26.25489
2009-12-01,30.63,34.93999,30.59999,33.92,237700,28.22712
2009-11-02,29.67,31.97,29.39,30.49,330500,25.29062
2009-10-01,30.79,33.42,29.45,29.62,371100,24.56898
2009-09-01,26.31,31.68999,25.71,31.01,565200,25.72195
2009-08-03,25.76,27.02001,24.63,26.37,422100,21.79447
2009-07-01,28.64001,29.35,25.64001,25.74,424700,21.27378
2009-06-01,30.81001,32.91,22.01,28.30,510900,23.38959
2009-05-01,28.41999,33.80001,27.92,30.31,518400,24.96502
2009-04-01,26.12,29.73001,25.82,28.66999,432800,23.61422
2009-03-02,28.82,29.50,24.20,26.50999,568300,21.83512
2009-02-02,29.95,35.98001,27.75,29.50,570300,24.1947
2009-01-02,31.71,34.25,28.00,30.51,536300,25.02307
2008-12-01,31.36,33.53001,28.12999,31.75,595700,26.04006
2008-11-03,26.94,32.45,24.12,32.45,745300,26.52427
2008-10-01,35.90,38.93,21.24,26.85,680100,21.94688
2008-09-02,39.10,40.61,27.96,35.75,488300,29.22164
2008-08-01,42.13,45.40,36.66,38.40001,314600,31.30049
2008-07-01,47.40,47.78,42.20,42.40,275800,34.56096
2008-06-02,46.60001,51.70,44.89,47.27,571100,38.53057
2008-05-01,38.32,54.00,37.49,47.67,565200,38.77172
2008-04-01,39.08,42.05,37.02,38.30,319700,31.15076
2008-03-03,46.55001,46.55001,37.84,39.26999,612000,31.93969
2008-02-01,52.72,55.68,45.52,46.90,353400,38.04802
2008-01-02,62.23,66.18999,52.02001,52.62,399900,42.68842
2007-12-03,62.15,67.94,61.29,62.60,365900,50.78478
2007-11-01,69.20,70.49001,58.57,62.25,431900,50.42441
2007-10-01,66.68001,72.31,64.95,69.80,292300,56.54013
2007-09-04,64.68,68.98,62.85001,66.74999,459600,54.06954
2007-08-01,65.82,66.85,53.10001,64.75,562400,52.37038
2007-07-02,63.91,73.67,62.88,66.40,459400,53.70491
2007-06-01,61.90,65.75,60.86,62.57,418500,50.60717
2007-05-01,56.94999,61.90,55.18,61.90,282200,49.98772
2007-04-02,57.36,61.56,56.75,56.94999,292700,45.99031
2007-03-01,56.51,59.93999,54.37,59.62,378900,48.14649
2007-02-01,55.95,58.77,54.87,55.78001,290500,44.96658
2007-01-03,55.33,57.44,53.02,55.95,351500,45.10362
2006-12-01,51.80,55.22,51.06,54.33,271400,43.79767
2006-11-01,49.09999,53.72,49.05,51.66,373400,41.57339
2006-10-02,42.35,49.35,41.90,48.85,319000,39.31204
2006-09-01,42.42,44.25,41.97001,42.10,241200,33.87997
2006-08-01,40.75,42.82,40.30,42.41,190400,34.05501
2006-07-03,41.40,41.84,39.17,40.86,206300,32.81037
2006-06-01,39.23,41.40,37.68,41.40,317000,33.24398
2006-05-01,39.44,40.90,38.88,38.98,275300,31.22561
2006-04-03,39.69,39.69,37.02,39.20,239900,31.40185
2006-03-01,37.50,39.90,36.36,39.44,244300,31.5941
2006-02-01,35.70,37.68,35.60,37.40,182500,29.88696
2006-01-03,36.18,36.80,35.14,35.83,257100,28.63235
2005-12-01,36.65,38.48,35.96,36.02999,264300,28.79217
2005-11-01,37.73,38.77,36.34999,36.55001,264500,29.13952
2005-10-03,39.25,39.94,35.86,37.82,290500,30.15203
