Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,35.28,35.37,32.07,33.59,27279700,32.65071
2014-11-03,34.97,36.15,34.22,35.38,19835900,34.39065
2014-10-01,35.09,36.16,33.10,34.84,27411100,33.86575
2014-09-02,34.93,35.55,34.36,35.24,17298200,33.80857
2014-08-01,35.78,35.82,34.17,34.96,18688000,33.53994
2014-07-01,35.23,37.48,35.03,35.59,25150400,34.14435
2014-06-02,35.50,35.75,34.62,35.36,20078400,33.49047
2014-05-01,35.75,36.86,35.00,35.47,26421600,33.59465
2014-04-01,35.01,36.41,34.32,35.70,29998900,33.81249
2014-03-03,31.80,35.50,31.76,35.07,32589800,32.78527
2014-02-03,33.32,33.50,31.74,31.93,34350800,29.84984
2014-01-02,35.24,35.29,32.01,33.32,31238600,31.14928
2013-12-02,35.18,35.30,33.60,35.16,21568400,32.43679
2013-11-01,36.50,36.80,34.56,35.21,20179500,32.48292
2013-10-01,33.79,36.49,33.09,36.20,30358800,33.39624
2013-09-03,34.01,35.01,33.21,33.82,21912800,30.78763
2013-08-01,35.65,35.85,33.19,33.83,19714300,30.79674
2013-07-01,35.40,36.31,34.93,35.27,19891400,32.10762
2013-06-03,34.99,36.39,34.10,35.40,33495900,31.82123
2013-05-01,37.46,37.97,34.98,34.99,22241600,31.45268
2013-04-01,36.71,39.00,36.63,37.46,31790100,33.67297
2013-03-01,35.69,36.87,35.63,36.69,25029400,32.59046
2013-02-01,35.16,36.25,35.00,35.91,26013600,31.89761
2013-01-02,34.39,35.50,32.76,34.79,29216200,30.90276
2012-12-03,34.23,34.69,33.10,33.71,25837000,29.56268
2012-11-01,34.84,35.38,32.71,34.13,29329800,29.93101
2012-10-01,37.63,38.43,33.00,34.59,27435100,30.33442
2012-09-04,36.58,38.58,36.54,37.70,29642900,32.68237
2012-08-01,38.14,38.28,36.43,36.64,21782300,31.76345
2012-07-02,35.70,38.11,34.24,37.92,27909700,32.87309
2012-06-01,34.10,36.00,33.78,35.66,34630300,30.53362
2012-05-01,32.93,34.41,32.47,34.17,28418000,29.25781
2012-04-02,31.28,32.95,29.95,32.91,26001500,28.17895
2012-03-01,30.54,31.97,30.44,31.23,32086600,26.36777
2012-02-01,29.91,30.64,29.58,30.59,25098300,25.82741
2012-01-03,30.46,30.68,29.02,29.41,31405200,24.83113
2011-12-01,28.93,30.30,28.51,30.24,24893900,25.16237
2011-11-01,29.03,29.55,27.41,28.98,25164100,24.11393
2011-10-03,28.64,29.80,27.55,29.31,27873600,24.38852
2011-09-01,28.59,29.18,27.29,28.52,38959200,23.37072
2011-08-01,30.06,30.08,27.33,28.48,45910700,23.33794
2011-07-01,31.42,31.78,28.77,29.26,25515700,23.97711
2011-06-01,31.43,31.58,30.11,31.41,23832100,25.38902
2011-05-02,31.60,31.94,30.90,31.56,23300200,25.51026
2011-04-01,30.87,31.82,29.91,31.12,30898200,25.15461
2011-03-01,28.45,30.97,27.27,30.61,40766200,24.39582
2011-02-01,27.92,28.59,27.56,28.38,24386400,22.61853
2011-01-03,29.68,30.10,27.20,27.52,36156900,21.93312
2010-12-01,28.12,29.56,28.03,29.38,21588700,23.07967
2010-11-01,28.83,29.49,27.49,27.79,21937400,21.83064
2010-10-01,28.85,29.43,27.86,28.52,25875400,22.40409
2010-09-01,27.24,29.15,27.06,28.60,25864700,22.14555
2010-08-02,26.50,27.39,26.20,27.03,29194100,20.92986
2010-07-01,24.26,26.41,23.88,25.94,30614900,20.08586
2010-06-01,24.27,25.66,24.03,24.19,32338300,18.40851
2010-05-03,26.24,26.43,23.78,24.30,38832400,18.49222
2010-04-01,26.05,26.75,25.48,26.06,32125000,19.83158
2010-03-01,24.91,26.57,24.71,25.84,27265500,19.35025
2010-02-01,25.67,25.84,24.61,24.81,32003700,18.57893
2010-01-04,28.41,28.73,25.06,25.36,40469400,18.9908
2009-12-01,27.18,28.61,26.94,28.03,23437800,20.68025
2009-11-02,25.90,27.33,25.00,26.94,26854300,19.87605
2009-10-01,27.00,27.19,25.25,25.67,35187600,18.93906
2009-09-01,25.95,27.69,25.01,27.01,30453100,19.62676
2009-08-03,26.70,26.90,24.91,26.05,23831200,18.92918
2009-07-01,24.94,26.60,23.19,26.23,29040800,19.05998
2009-06-01,24.97,25.27,23.81,24.84,32196700,17.74577
2009-05-01,25.88,26.78,23.38,24.79,30308800,17.71005
2009-04-01,24.77,27.09,24.77,25.62,31470300,18.303
2009-03-02,22.80,26.96,21.44,25.20,39289900,17.72536
2009-02-02,24.97,26.38,22.30,23.77,36533000,16.71951
2009-01-02,28.74,29.46,23.90,24.62,36402000,17.31739
2008-12-01,28.00,30.65,26.57,28.50,34290000,19.75611
2008-11-03,26.87,29.91,23.32,28.56,38197600,19.7977
2008-10-01,28.15,29.37,20.90,26.77,48964300,18.55688
2008-09-02,32.53,33.15,27.51,27.92,35899000,19.05329
2008-08-01,31.01,32.81,29.72,31.99,25435700,21.83076
2008-07-01,33.41,33.59,30.53,30.81,30274400,21.0255
2008-06-02,39.67,39.91,32.63,33.69,30504900,22.70948
2008-05-01,39.29,40.70,38.30,39.90,21714100,26.89546
2008-04-01,38.70,39.61,37.02,38.71,22204100,26.09332
2008-03-03,34.75,38.74,34.25,38.30,27334600,25.55223
2008-02-01,38.58,38.82,32.95,34.83,37296800,23.23718
2008-01-02,41.51,41.94,33.32,38.49,38856100,25.67899
2007-12-03,38.49,42.79,37.71,41.56,26775800,27.45947
2007-11-01,41.65,41.86,36.25,38.21,28498100,25.24606
2007-10-01,42.42,42.72,40.34,41.79,21012100,27.61143
