Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,49.01,50.11,46.18,48.58,5860600,48.39696
2014-11-03,48.42,51.01,47.34,49.16,5756500,48.669
2014-10-01,49.50,49.50,44.09,48.40,13704100,47.91659
2014-09-02,50.52,50.86,49.50,49.59,5051200,49.0947
2014-08-01,48.55,50.60,48.38,50.53,4141100,49.79438
2014-07-01,49.70,50.37,48.65,48.65,4629200,47.94175
2014-06-02,49.16,49.87,48.70,49.64,5670900,48.91734
2014-05-01,47.62,49.12,47.27,49.08,3945600,48.14011
2014-04-01,47.50,48.34,45.92,47.67,5588100,46.75711
2014-03-03,46.70,48.26,46.26,47.28,6594000,46.37457
2014-02-03,43.97,47.25,42.78,47.08,8202000,45.9947
2014-01-02,45.94,46.57,43.37,44.04,6051000,43.02478
2013-12-02,44.48,46.22,43.51,46.22,5254100,45.15452
2013-11-01,43.82,45.07,43.27,44.34,4386800,43.04682
2013-10-01,42.01,44.36,41.08,43.77,5727800,42.49345
2013-09-03,41.03,43.78,40.48,42.01,6351600,40.78477
2013-08-01,40.75,41.68,40.18,40.43,4760200,39.05524
2013-07-01,38.77,41.08,38.19,40.48,5523700,39.10354
2013-06-03,40.41,40.74,37.78,38.35,7822500,37.04596
2013-05-01,39.34,41.61,38.67,40.30,6480700,38.63386
2013-04-01,39.15,39.77,37.10,39.55,10038200,37.91487
2013-03-01,38.24,40.04,38.01,39.18,7008600,37.56017
2013-02-01,39.23,39.60,37.35,38.49,8928700,36.74734
2013-01-02,38.41,39.87,38.08,39.02,8141400,37.25334
2012-12-03,36.81,37.68,35.44,37.54,9412700,35.84035
2012-11-01,36.11,37.00,34.44,36.70,7457300,34.73135
2012-10-01,37.04,38.05,35.70,36.03,9082800,34.09729
2012-09-04,35.69,38.57,35.07,36.80,7707000,34.82598
2012-08-01,35.02,36.63,34.17,35.65,6745700,33.56189
2012-07-02,35.21,35.77,33.68,34.84,9910600,32.79934
2012-06-01,33.23,35.54,32.59,35.29,9669700,33.22298
2012-05-01,36.67,37.10,32.65,33.82,10721100,31.66745
2012-04-02,36.92,37.63,35.10,36.67,10654600,34.33606
2012-03-01,37.19,37.65,35.80,36.97,9495400,34.61697
