Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,79.39,82.61,72.51,79.16,36477100,78.62577
2014-11-03,87.48,89.22,79.58,79.82,24392600,78.79186
2014-10-01,90.61,91.06,77.51,87.42,34300300,86.29396
2014-09-02,98.60,98.69,90.06,90.62,13536800,89.45275
2014-08-01,96.36,98.87,94.49,98.74,9100400,96.96919
2014-07-01,100.35,100.97,96.56,96.63,9206200,94.89703
2014-06-02,95.40,101.52,94.92,100.10,8933100,98.3048
2014-05-01,93.61,95.43,92.93,95.31,7866500,93.16813
2014-04-01,89.09,94.66,88.22,93.74,11768900,91.63341
2014-03-03,87.12,89.59,85.97,89.06,10358300,87.05858
2014-02-03,83.30,88.48,81.78,87.65,14131400,85.26096
2014-01-02,87.98,88.24,83.03,83.38,13383900,81.10734
2013-12-02,86.53,88.54,84.74,88.51,11008300,86.09751
2013-11-01,86.36,88.24,85.00,86.44,9814200,83.69408
2013-10-01,82.68,87.62,81.31,86.39,10924800,83.64567
2013-09-03,82.39,85.74,81.77,82.91,9199500,80.27622
2013-08-01,83.09,83.85,79.83,81.57,8921300,78.61414
2013-07-01,78.79,83.96,78.35,82.42,9709100,79.43333
2013-06-03,80.80,81.90,76.02,78.30,14205400,75.46264
2013-05-01,77.60,83.95,76.96,80.50,12630300,77.21286
2013-04-01,79.31,79.62,73.52,78.27,14285700,75.07391
2013-03-01,77.38,80.14,76.85,79.31,9226100,76.07145
2013-02-01,77.76,79.51,75.46,77.69,11014300,74.18515
2013-01-02,72.95,78.59,72.00,77.35,9791200,73.86049
2012-12-03,71.60,73.39,69.57,71.42,10731400,68.19801
2012-11-01,71.66,73.06,67.77,71.06,11581900,67.51025
2012-10-01,73.94,75.19,71.02,71.94,11810800,68.3463
2012-09-04,71.46,77.35,70.40,73.43,11332200,69.76186
2012-08-01,69.91,73.03,68.16,71.53,9689500,67.65385
2012-07-02,66.37,70.68,64.64,69.65,14429600,65.87573
2012-06-01,62.35,66.50,61.11,66.37,17421500,62.77347
2012-05-01,71.38,72.77,62.54,63.63,18430100,59.89267
2012-04-02,71.57,72.99,67.68,71.24,14213800,67.05569
2012-03-01,75.21,75.76,70.17,71.75,15217200,67.53574
2012-02-01,71.33,76.50,70.82,74.88,14790400,70.21069
2012-01-03,70.60,73.16,68.74,70.69,15196500,66.28197
2011-12-01,70.68,72.17,64.80,69.13,14542800,64.81925
2011-11-01,66.98,72.90,63.83,70.87,22067500,66.17067
2011-10-03,57.84,73.19,54.26,69.71,24855200,65.08759
2011-09-01,68.75,69.65,57.95,58.51,26882800,54.63025
2011-08-01,77.80,77.85,61.10,68.64,35206400,63.83788
2011-07-01,75.19,79.97,74.55,76.45,18804900,71.10149
2011-06-01,76.92,77.25,70.45,75.35,24363000,70.07845
2011-05-02,80.65,80.80,72.28,77.11,28042400,71.45184
2011-04-01,80.45,80.90,75.19,80.48,17423500,74.57456
2011-03-01,79.00,80.97,72.90,79.75,18803500,73.89812
2011-02-01,73.44,78.69,71.22,78.54,17591600,72.53272
2011-01-03,68.90,73.15,67.49,73.15,16236100,67.55499
2010-12-01,63.74,68.50,63.74,68.25,10629300,63.02977
2010-11-01,59.83,63.89,59.07,62.71,17455600,57.65703
2010-10-01,56.60,60.29,55.68,59.24,13996100,54.46663
2010-09-01,52.05,56.75,51.97,56.06,15776000,51.54287
