Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,24.27,25.14,23.68,24.73,30998000,24.63803
2014-11-03,23.90,24.51,23.75,24.40,23291100,24.1857
2014-10-01,23.12,23.87,21.55,23.84,55954000,23.63062
2014-09-02,23.43,23.88,23.05,23.17,35561500,22.96651
2014-08-01,22.35,23.44,22.08,23.36,30107800,23.05954
2014-07-01,22.79,23.07,22.40,22.41,28908100,22.12175
2014-06-02,22.31,22.93,22.20,22.74,27297400,22.44751
2014-05-01,21.96,22.32,21.56,22.29,28711300,21.91656
2014-04-01,22.40,22.56,21.19,21.96,46725800,21.59208
2014-03-03,21.50,22.65,21.39,22.34,50494100,21.96572
2014-02-03,21.04,21.82,20.50,21.70,48283700,21.25766
2014-01-02,21.82,22.16,20.86,21.06,46862600,20.63071
2013-12-02,21.51,21.87,21.00,21.86,39134600,21.4144
2013-11-01,20.57,21.64,20.38,21.48,32317200,20.94366
2013-10-01,19.94,21.04,19.48,20.57,45014700,20.05639
2013-09-03,19.67,20.82,19.49,19.91,40323000,19.41287
2013-08-01,20.68,20.84,19.35,19.44,37107800,18.88014
2013-07-01,19.59,20.93,19.34,20.49,43350300,19.8999
2013-06-03,19.92,20.09,18.58,19.45,68877700,18.88986
2013-05-01,18.67,20.35,18.48,19.84,49473700,19.19127
2013-04-01,18.20,18.76,17.75,18.70,52771800,18.08854
2013-03-01,17.46,18.48,17.36,18.21,50273200,17.61456
2013-02-01,17.47,17.94,17.16,17.59,54117900,16.95766
2013-01-02,16.80,17.50,16.74,17.38,48077400,16.75521
2012-12-03,15.81,16.70,15.58,16.39,50954800,15.8008
2012-11-01,15.92,16.20,15.06,15.76,54131700,15.09883
2012-10-01,15.70,16.39,15.62,15.90,62564000,15.23296
2012-09-04,15.13,16.44,15.07,15.59,60572900,14.93596
2012-08-01,14.72,15.38,14.34,15.16,37441100,14.4639
2012-07-02,14.71,14.85,14.09,14.66,55961500,13.98686
2012-06-01,13.74,14.65,13.30,14.64,80804100,13.96778
2012-05-01,15.43,15.71,13.70,14.01,94031000,13.30274
2012-04-02,15.73,15.99,14.92,15.43,80717000,14.65106
2012-03-01,14.80,16.01,14.40,15.80,91020400,15.00238
2012-02-01,14.18,14.96,14.18,14.76,69257500,13.97027
2012-01-03,13.28,14.34,13.12,14.06,79381200,13.30773
2011-12-01,12.74,13.38,12.21,13.00,78546100,12.30444
2011-11-01,12.84,13.65,11.73,12.81,106755300,12.04744
2011-10-03,11.72,14.17,10.95,13.50,143921200,12.69637
2011-09-01,13.37,13.42,11.34,11.81,114377000,11.10697
2011-08-01,15.03,15.03,11.81,13.38,148598300,12.53481
2011-07-01,15.32,15.70,14.48,14.80,89911300,13.86512
2011-06-01,15.78,15.79,14.62,15.35,96592800,14.38037
2011-05-02,16.44,16.46,15.39,15.84,69519600,14.78632
2011-04-01,16.50,16.75,15.82,16.38,54501000,15.29039
2011-03-01,16.90,16.90,15.79,16.39,82707300,15.29973
2011-02-01,16.50,17.20,16.34,16.85,60161900,15.68807
2011-01-03,16.17,16.76,16.02,16.40,84410600,15.2691
2010-12-01,14.67,16.06,14.63,15.95,62975600,14.85013
2010-11-01,14.59,15.68,14.36,14.46,94165400,13.41424
2010-10-01,14.49,15.00,14.25,14.56,85782000,13.50701
2010-09-01,13.73,14.97,13.72,14.35,80447300,13.3122
2010-08-02,14.92,15.09,13.29,13.56,76415000,12.55113
2010-07-01,13.79,15.02,13.35,14.71,88730700,13.61557
2010-06-01,14.52,15.05,13.70,13.81,108096600,12.78253
2010-05-03,16.30,16.51,13.84,14.68,176747500,13.5593
2010-04-01,16.08,17.12,15.92,16.16,130811900,14.92631
2010-03-01,14.73,16.32,14.63,15.95,79911800,14.73235
2010-02-01,14.27,14.73,13.51,14.68,118397700,13.52846
2010-01-04,14.52,15.40,13.99,14.18,131377300,13.06769
2009-12-01,14.76,14.94,14.01,14.40,73888600,13.27043
2009-11-02,14.16,15.13,13.78,14.66,93200600,13.46007
2009-10-01,14.86,15.76,13.97,14.05,110978000,12.90
2009-09-01,14.59,15.44,13.74,14.94,108820100,13.71715
2009-08-03,13.25,14.90,13.16,14.70,118579400,13.45509
2009-07-01,11.97,13.03,10.83,13.01,126532900,11.90821
2009-06-01,12.39,12.67,11.30,11.95,137910800,10.93798
2009-05-01,10.74,13.08,10.55,12.23,201981600,11.13684
2009-04-01,8.56,11.33,8.54,10.73,217341000,9.77091
2009-03-02,7.31,9.70,5.88,8.81,300614900,8.02253
2009-02-02,9.00,10.09,6.85,7.60,259243700,6.85196
2009-01-02,12.53,12.82,8.07,9.24,196280500,8.33053
2008-12-01,12.17,13.82,10.44,12.52,140026000,11.28769
2008-11-03,15.49,16.53,8.67,12.66,192849900,11.24601
2008-10-01,19.86,20.70,12.79,15.53,250930500,13.79546
2008-09-02,21.96,24.50,17.16,19.89,313988800,17.66849
2008-08-01,21.64,22.76,19.61,21.42,160734700,18.84694
2008-07-01,19.93,23.09,16.77,21.63,269555800,19.03171
2008-06-02,24.70,24.70,20.06,20.26,158850900,17.82628
2008-05-01,26.54,28.17,24.29,24.76,87172500,21.59437
2008-04-01,25.76,27.17,24.37,26.61,103711700,23.20784
2008-03-03,25.67,27.37,22.29,24.87,177560200,21.6903
2008-02-01,29.00,29.68,25.61,25.83,117486000,22.34734
2008-01-02,29.08,29.93,24.11,29.14,152321500,25.21106
2007-12-03,30.84,32.14,28.57,28.93,80656800,25.02937
2007-11-01,32.75,33.45,28.10,31.00,117817800,26.57906
2007-10-01,34.13,35.97,32.10,33.73,59528900,28.91973
2007-09-04,33.84,35.67,32.55,34.32,54003500,29.42559
2007-08-01,33.09,35.39,31.51,33.75,84222300,28.72435
2007-07-02,36.69,36.99,32.90,32.90,50477300,28.00092
2007-06-01,37.96,38.09,35.80,36.18,22195100,30.7925
2007-05-01,37.00,38.15,36.77,37.90,12844500,32.081
2007-04-02,35.60,37.43,35.12,37.01,14097400,31.32765
2007-03-01,35.50,36.58,34.18,35.63,19887000,30.15953
2007-02-01,37.18,37.99,34.92,35.99,12300200,30.33653
2007-01-03,36.96,37.32,36.28,37.08,6734800,31.25531
2006-12-01,35.66,37.14,35.23,36.74,5910600,30.96872
2006-11-01,35.59,36.30,34.94,35.68,5613100,29.84551
2006-10-02,34.57,35.76,34.41,35.43,6370700,29.63639
2006-09-01,33.59,35.00,33.11,34.62,5928900,28.95885
2006-08-01,32.95,33.80,32.41,33.47,6729500,27.83827
