Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,56.73,57.73,54.14,56.58,10180800,56.3212
2014-11-03,55.29,57.62,54.90,56.91,7350900,56.33335
2014-10-01,52.98,55.53,48.83,55.21,18782900,54.65058
2014-09-02,54.14,54.83,52.75,53.15,8493400,52.61145
2014-08-01,51.70,54.50,51.20,54.02,10605500,53.22158
2014-07-01,54.12,54.81,51.80,51.83,10585600,51.06395
2014-06-02,54.08,55.82,53.78,54.06,7473400,53.26099
2014-05-01,52.98,54.12,52.38,54.05,7763600,53.00927
2014-04-01,52.55,53.49,50.74,53.03,11760900,52.00891
2014-03-03,51.50,53.25,51.02,52.33,12101600,51.32239
2014-02-03,49.91,52.34,48.38,52.06,12378200,50.83611
2014-01-02,51.98,52.32,49.44,50.03,11486000,48.85383
2013-12-02,50.38,52.30,49.13,52.26,8970800,51.03141
2013-11-01,48.73,50.78,48.57,50.40,8201100,48.96574
2013-10-01,46.39,48.99,45.09,48.62,10940500,47.23639
2013-09-03,44.46,48.01,44.13,46.41,9565500,45.08928
2013-08-01,45.42,46.02,43.93,44.04,7924400,42.59053
2013-07-01,42.99,45.64,42.35,45.16,10324900,43.67367
2013-06-03,43.71,44.26,41.37,42.64,13578000,41.23661
2013-05-01,41.20,44.70,40.90,43.53,11767300,41.88331
2013-04-01,41.70,42.13,40.02,41.45,12988900,39.882
2013-03-01,40.71,42.16,40.42,41.71,10294400,40.13216
2013-02-01,40.33,41.42,39.97,40.97,10088300,39.24982
2013-01-02,38.72,40.91,38.52,40.08,8427300,38.39719
2012-12-03,37.32,38.53,36.71,37.90,9352100,36.30872
2012-11-01,36.59,37.61,35.19,37.13,11601400,35.31202
2012-10-01,36.72,37.54,35.99,36.49,11740700,34.70335
2012-09-04,36.24,38.07,35.75,36.53,12647200,34.74139
2012-08-01,35.99,37.39,35.00,36.36,11684100,34.35734
2012-07-02,35.76,36.19,33.87,35.81,18678700,33.83763
2012-06-01,33.98,35.70,33.08,35.67,18678300,33.70534
2012-05-01,36.93,37.40,34.02,34.67,17970900,32.60612
2012-04-02,37.34,37.79,35.56,37.01,18471500,34.80682
2012-03-01,37.29,38.17,35.96,37.42,16862200,35.19241
2012-02-01,36.50,37.66,36.50,37.23,12518700,34.85123
2012-01-03,34.41,36.92,34.15,36.22,12758300,33.90577
2011-12-01,33.70,34.34,32.22,33.75,16770500,31.59358
2011-11-01,32.40,34.09,31.08,33.89,18665800,31.51346
2011-10-03,29.00,34.58,27.67,33.42,21307000,31.07642
2011-09-01,32.45,32.78,28.65,29.22,33916100,27.17095
2011-08-01,35.16,35.22,29.03,32.40,38600200,29.96026
2011-07-01,37.22,38.43,34.19,34.68,23407600,32.06857
2011-06-01,37.47,37.56,35.05,37.24,22462400,34.43581
2011-05-02,38.96,38.98,36.42,37.63,21822300,34.62476
2011-04-01,37.85,38.87,36.24,38.70,15718300,35.60931
2011-03-01,37.20,37.77,35.08,37.67,19773600,34.66156
2011-02-01,36.47,38.09,35.91,37.01,14154800,33.90535
2011-01-03,35.05,36.82,34.73,36.24,11698400,33.19994
2010-12-01,33.11,35.00,33.11,34.87,9481700,31.94486
2010-11-01,32.31,33.53,31.82,32.61,13674300,29.72259
2010-10-01,31.54,32.95,30.79,32.18,14628800,29.33066
2010-09-01,28.61,31.91,28.59,31.28,17639700,28.51035
2010-08-02,30.71,31.15,27.67,28.19,17738600,25.56368
2010-07-01,27.40,30.81,26.79,30.29,19556000,27.46803
2010-06-01,29.31,30.60,27.37,27.43,22841500,24.87448
2010-05-03,32.59,33.32,27.91,29.60,31437700,26.71092
2010-04-01,31.51,33.46,31.21,32.57,14732700,29.39103
2010-03-01,28.96,31.59,28.85,31.24,10294700,28.19085
2010-02-01,27.69,29.02,26.66,28.84,15324200,25.93622
2010-01-04,28.09,29.61,27.31,27.38,13006400,24.62322
2009-12-01,27.87,28.56,27.46,27.79,6856800,24.99194
2009-11-02,25.41,28.17,25.20,27.51,11434600,24.58043
2009-10-01,26.13,27.50,25.26,25.29,13213000,22.59685
2009-09-01,24.96,27.55,24.36,26.34,12185600,23.53503
2009-08-03,24.19,25.73,23.84,25.02,11092000,22.23772
2009-07-01,21.76,24.13,20.21,23.88,11608300,21.22449
2009-06-01,22.97,24.13,21.08,21.96,12152000,19.518
