Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,42.39,42.44,39.83,41.35,8042300,41.18144
2014-11-03,40.59,42.58,40.45,42.49,6204700,42.09781
2014-10-01,39.77,40.55,36.58,40.54,15232200,40.16581
2014-09-02,40.37,40.62,39.34,39.90,7834100,39.53172
2014-08-01,38.90,40.31,38.28,40.28,6788900,39.73717
2014-07-01,38.49,40.08,38.22,39.00,7614200,38.47442
2014-06-02,37.88,38.48,37.54,38.35,6597000,37.83318
2014-05-01,36.44,37.87,35.78,37.82,5514800,37.1391
2014-04-01,36.42,36.93,35.13,36.45,8860800,35.79376
2014-03-03,35.90,36.75,35.60,36.35,9170500,35.69556
2014-02-03,34.74,36.45,33.92,36.35,8600200,35.54265
2014-01-02,35.62,36.05,34.19,34.82,8584300,34.04663
2013-12-02,34.72,35.76,34.03,35.74,6559500,34.9462
2013-11-01,33.79,34.79,33.51,34.69,6370700,33.75313
2013-10-01,32.07,33.92,31.38,33.65,9257000,32.74122
2013-09-03,31.53,32.91,31.31,32.04,6839300,31.1747
2013-08-01,31.94,32.47,31.29,31.40,5775400,30.40482
2013-07-01,30.82,32.19,30.62,31.73,8131600,30.72436
2013-06-03,31.70,32.03,29.94,30.59,10062900,29.62049
2013-05-01,30.76,32.31,30.50,31.66,8993300,30.50255
2013-04-01,30.30,30.81,29.10,30.80,9007900,29.67399
2013-03-01,29.49,30.47,29.35,30.27,6678600,29.16336
2013-02-01,29.65,30.02,29.21,29.63,8440600,28.43051
2013-01-02,29.62,29.89,29.10,29.40,8962800,28.20982
2012-12-03,29.35,29.56,28.25,28.85,10933800,27.68209
2012-11-01,29.02,29.47,27.21,29.13,9986000,27.79087
2012-10-01,30.95,31.22,28.72,28.87,10751000,27.54282
2012-09-04,30.46,31.74,30.19,30.83,7814200,29.41272
2012-08-01,29.45,30.96,28.82,30.49,8114600,28.96868
2012-07-02,28.81,29.42,27.67,29.26,8426400,27.80005
2012-06-01,27.45,28.94,27.04,28.73,9544800,27.2965
2012-05-01,29.80,30.22,27.41,27.93,9918700,26.43377
2012-04-02,30.15,30.62,28.80,29.82,11556400,28.22252
2012-03-01,29.10,30.54,28.39,30.16,9791500,28.54431
2012-02-01,27.29,29.21,27.19,28.95,8935500,27.31143
2012-01-03,25.87,27.20,25.66,27.03,9760900,25.5001
2011-12-01,25.55,26.23,24.66,25.45,10383400,24.00953
