Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,49.08,49.63,47.38,48.49,7126900,48.19485
2014-11-03,46.64,49.42,46.64,49.30,6284200,48.65007
2014-10-01,45.07,46.84,43.69,46.71,12510000,46.09421
2014-09-02,45.18,45.73,44.77,45.11,7174300,44.5153
2014-08-01,43.08,45.19,42.97,45.13,6267600,44.25572
2014-07-01,44.69,45.49,43.11,43.14,7570000,42.30427
2014-06-02,44.96,45.71,44.40,44.62,7550200,43.7556
2014-05-01,44.15,45.08,43.81,45.04,4840000,43.8667
2014-04-01,43.01,44.38,42.70,44.24,7036600,43.08754
2014-03-03,42.01,43.11,41.87,43.06,7653400,41.93827
2014-02-03,40.71,42.52,39.83,42.35,9178100,41.03831
2014-01-02,42.85,42.87,40.32,40.76,13892900,39.49756
2013-12-02,43.03,43.38,41.69,42.98,7986700,41.6488
2013-11-01,42.36,43.46,42.13,43.01,6665300,41.36343
2013-10-01,39.78,42.99,39.56,42.35,9422500,40.7287
2013-09-03,39.69,41.84,39.39,39.80,7725400,38.27633
2013-08-01,41.60,41.85,39.05,39.51,7435000,37.75863
2013-07-01,39.91,41.85,39.48,41.39,7989700,39.55529
2013-06-03,40.15,41.88,38.87,39.67,17770600,37.91153
2013-05-01,40.89,42.20,40.03,40.05,14202000,38.0265
2013-04-01,39.73,41.44,39.50,40.94,10504800,38.87153
2013-03-01,37.90,39.80,37.89,39.77,6055300,37.76064
2013-02-01,37.12,38.45,36.79,38.09,6919700,35.98772
2013-01-02,35.40,37.06,35.29,36.87,5037500,34.83506
2012-12-03,36.01,36.45,34.33,34.90,8641600,32.97379
2012-11-01,35.46,36.07,33.96,36.04,6342700,33.67305
2012-10-01,35.84,36.59,35.14,35.39,5978200,33.06574
2012-09-04,35.51,36.40,35.40,35.83,7234000,33.47684
2012-08-01,35.79,36.00,35.02,35.46,5504400,32.89891
2012-07-02,34.63,35.82,34.45,35.63,5713500,33.05664
2012-06-01,33.46,34.77,33.05,34.77,6655700,32.25875
2012-05-01,34.18,34.44,33.36,33.78,5380800,31.12593
2012-04-02,34.08,34.42,33.42,34.18,6200100,31.4945
2012-03-01,33.25,34.15,32.87,34.08,5530600,31.40236
2012-02-01,32.16,33.35,32.16,33.23,6646100,30.45789
2012-01-03,32.69,32.78,31.84,32.03,8038000,29.358
2011-12-01,31.96,32.72,31.30,32.49,5939000,29.77963
2011-11-01,30.53,31.93,30.19,31.90,7195200,28.97688
2011-10-03,29.48,31.68,28.70,31.04,10333000,28.19569
2011-09-01,30.90,31.14,29.17,29.66,12056700,26.94214
2011-08-01,31.12,31.12,28.07,30.89,16131900,27.86031
2011-07-01,31.17,31.92,30.77,30.83,7947300,27.80619
2011-06-01,32.27,32.32,30.57,31.23,11849800,28.16696
2011-05-02,31.60,32.46,31.28,32.31,10378500,28.93809
2011-04-01,29.96,31.57,29.96,31.52,7760700,28.23054
2011-03-01,29.84,30.04,28.72,29.92,8189800,26.79752
2011-02-01,29.00,29.82,28.89,29.72,6615100,26.46775
2011-01-03,29.43,29.72,28.80,28.88,6715900,25.71967
2010-12-01,28.54,29.58,28.54,29.31,4869400,26.10262
2010-11-01,28.88,29.27,28.22,28.32,6832800,25.0026
2010-10-01,27.91,29.00,27.76,28.77,5691200,25.39989
2010-09-01,26.77,28.22,26.71,27.88,7182100,24.61415
2010-08-02,27.26,27.43,26.35,26.48,8019400,23.21259
2010-07-01,25.53,27.46,25.30,26.98,8172300,23.6509
2010-06-01,26.26,26.97,25.43,25.50,7694600,22.35352
2010-05-03,27.66,27.86,24.95,26.35,9616800,22.93407
2010-04-01,28.06,28.20,27.45,27.63,4877700,24.04814
2010-03-01,27.13,28.19,27.02,27.93,5656400,24.30925
2010-02-01,26.36,27.21,25.71,27.03,7515200,23.42667
2010-01-04,26.45,27.04,26.16,26.20,9295300,22.70732
2009-12-01,27.00,27.29,25.96,26.47,6199200,22.94132
2009-11-02,25.83,27.24,25.77,26.78,6556300,22.99224
