Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,45.91,49.33,45.13,47.22,14584700,46.85111
2014-11-03,45.52,46.61,44.84,46.00,13293800,45.23742
2014-10-01,42.27,45.63,41.90,45.47,15780300,44.71621
2014-09-02,43.22,43.66,41.40,42.09,11121700,41.39223
2014-08-01,41.12,43.30,40.07,43.28,12312700,42.18231
2014-07-01,44.21,44.28,41.22,41.25,10199300,40.2038
2014-06-02,42.62,44.36,41.63,44.26,12717900,43.13745
2014-05-01,43.21,43.52,41.23,42.74,12901000,41.30281
2014-04-01,41.48,43.50,40.94,43.21,15211500,41.75701
2014-03-03,40.29,41.62,39.52,41.46,12281000,40.06585
2014-02-03,39.18,40.94,38.26,40.45,9767800,38.7668
2014-01-02,37.92,39.18,37.11,39.10,11642400,37.47297
2013-12-02,38.08,38.52,37.25,37.97,10086300,36.39
2013-11-01,38.82,39.61,37.89,38.03,10606600,36.06146
2013-10-01,37.49,39.45,36.91,38.78,12143800,36.77264
2013-09-03,37.45,38.90,36.55,37.37,14386000,35.43562
2013-08-01,39.35,39.66,36.98,37.30,9368800,35.03366
2013-07-01,37.62,39.81,36.51,39.26,9891800,36.87458
2013-06-03,37.69,38.45,35.80,37.63,15844900,35.34362
2013-05-01,41.37,41.42,37.46,37.68,16237800,35.03123
2013-04-01,39.10,41.44,38.91,41.43,7792700,38.51762
2013-03-01,37.29,39.14,37.12,39.10,6866600,36.35141
2013-02-01,36.70,37.58,36.29,37.43,7720300,34.49918
2013-01-02,35.36,36.66,35.09,36.58,7534200,33.71574
2012-12-03,35.35,36.07,34.22,34.92,10030900,32.18571
2012-11-01,37.05,37.09,33.85,35.32,12991500,32.19107
2012-10-01,36.43,37.44,36.21,36.90,6821100,33.6311
2012-09-04,36.29,36.83,35.91,36.39,7384300,33.16628
2012-08-01,38.00,38.54,36.24,36.35,6484500,32.78295
2012-07-02,37.11,38.36,36.56,37.92,6344500,34.19889
2012-06-01,35.59,37.27,35.56,36.99,6668400,33.36015
2012-05-01,35.70,36.14,35.29,35.86,5925900,32.04283
2012-04-02,35.03,35.71,34.17,35.66,6501100,31.86411
2012-03-01,34.90,35.74,34.37,35.04,6763900,31.31011
2012-02-01,34.76,35.27,34.50,34.89,6521000,30.89032
2012-01-03,36.18,36.25,34.14,34.68,9005800,30.7044
2011-12-01,35.16,36.27,34.22,35.98,6785000,31.85537
2011-11-01,34.35,35.40,33.18,35.21,7286000,30.82835
2011-10-03,33.60,35.47,31.94,34.85,10333400,30.51315
2011-09-01,33.94,34.72,32.40,33.62,11438100,29.43622
2011-08-01,33.48,33.99,29.45,33.89,15861800,29.37274
2011-07-01,33.48,34.11,32.89,33.17,7201000,28.74871
2011-06-01,33.84,33.86,32.43,33.48,6644800,29.01739
2011-05-02,33.22,34.30,32.96,33.87,6616300,29.05919
2011-04-01,32.09,33.18,31.35,33.16,6307400,28.45004
2011-03-01,32.00,32.89,30.74,31.87,8751000,27.34327
2011-02-01,31.89,32.23,31.49,32.11,6158900,27.28017
2011-01-03,31.47,32.21,31.23,31.72,5475000,26.94883
2010-12-01,31.10,31.54,30.80,31.34,5225800,26.62599
2010-11-01,31.84,32.11,30.51,30.76,6083900,25.8249
2010-10-01,31.41,32.40,31.25,31.72,5020400,26.63088
2010-09-01,31.05,31.74,30.76,31.38,6990400,26.34542
2010-08-02,30.78,31.45,30.15,30.81,8631500,25.60423
2010-07-01,28.21,31.20,27.92,30.37,8355100,25.23857
2010-06-01,28.60,30.39,28.03,28.26,7603700,23.48509
2010-05-03,30.56,30.91,25.76,28.76,9524100,23.65113
2010-04-01,29.80,30.74,29.68,30.44,5231800,25.0327
2010-03-01,29.24,30.50,29.23,29.66,5755000,24.39126
2010-02-01,29.56,30.06,28.45,29.14,7201100,23.75219
2010-01-04,31.28,31.36,29.48,29.53,10418600,24.07008
2009-12-01,29.98,32.08,29.91,31.02,9942000,25.28459
2009-11-02,28.51,30.09,28.10,29.76,6925500,23.97294
