Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,69.36,71.43,67.31,68.38,10368700,68.18926
2014-11-03,67.37,69.99,66.82,69.61,7282900,69.15984
2014-10-01,64.10,67.99,59.21,67.27,14314500,66.83496
2014-09-02,63.99,65.31,63.15,63.91,7298100,63.4967
2014-08-01,60.77,63.92,59.70,63.86,6376500,63.22168
2014-07-01,61.07,62.48,60.35,60.91,6135500,60.30116
2014-06-02,59.74,61.34,59.42,60.83,6163000,60.22196
2014-05-01,58.16,59.82,57.03,59.79,5862800,58.97088
2014-04-01,58.66,59.49,55.39,58.12,12918400,57.32375
2014-03-03,58.66,60.50,57.11,58.49,11362200,57.68869
2014-02-03,56.10,60.01,54.65,59.44,9850300,58.42355
2014-01-02,55.31,57.50,54.95,55.96,9033700,55.00306
2013-12-02,55.24,55.59,53.40,55.44,5252700,54.49195
2013-11-01,52.89,55.71,52.36,55.26,5160500,54.09226
2013-10-01,50.63,53.50,49.58,52.77,7015100,51.65488
2013-09-03,49.72,52.19,49.31,50.59,5908400,49.52095
2013-08-01,51.34,51.50,48.82,49.22,5275000,47.98198
2013-07-01,47.75,51.48,47.18,51.02,6720900,49.7367
2013-06-03,48.38,49.13,46.45,47.61,11993500,46.41247
2013-05-01,46.93,50.40,46.80,48.11,10768900,46.68853
2013-04-01,45.98,48.38,45.83,47.33,9280000,45.93158
2013-03-01,43.36,46.04,43.22,45.95,5802300,44.59235
2013-02-01,43.09,43.79,42.71,43.45,6188700,41.98451
2013-01-02,40.68,43.29,40.38,42.91,5975400,41.46272
2012-12-03,40.34,41.30,39.24,39.88,6450800,38.53492
2012-11-01,39.99,40.55,38.48,40.24,6732200,38.67392
2012-10-01,40.24,41.40,39.85,40.03,6015800,38.47209
2012-09-04,38.80,40.68,38.62,40.12,5223800,38.55858
2012-08-01,38.61,39.05,37.78,38.84,4179100,37.1438
2012-07-02,38.14,38.90,37.18,38.39,5582100,36.71345
2012-06-01,35.80,38.03,35.38,38.01,8676500,36.35004
2012-05-01,37.44,37.74,35.81,36.15,5806800,34.38594
2012-04-02,37.61,38.00,36.48,37.51,5814100,35.67957
2012-03-01,36.21,37.66,35.68,37.61,5433100,35.7747
2012-02-01,35.91,36.48,35.62,36.18,6163300,34.24166
2012-01-03,35.10,36.13,34.71,35.80,6902900,33.88202
2011-12-01,33.80,34.96,33.25,34.69,7478000,32.83149
2011-11-01,32.93,34.17,31.68,33.88,7941700,31.88606
2011-10-03,31.49,34.31,30.11,33.56,13385200,31.58489
2011-09-01,33.39,33.75,31.09,31.73,15309100,29.86259
2011-08-01,34.45,34.45,29.64,33.40,20261800,31.26581
2011-07-01,35.53,36.12,33.79,34.12,10467200,31.9398
2011-06-01,35.99,36.08,34.54,35.53,11065300,33.2597
2011-05-02,35.48,36.57,35.15,36.11,11029300,33.6378
2011-04-01,33.23,35.35,33.17,35.24,7126100,32.82737
2011-03-01,32.77,33.26,31.44,33.11,9210100,30.84319
2011-02-01,31.81,32.85,31.79,32.67,8232600,30.29528
2011-01-03,31.67,32.36,31.56,31.68,7129800,29.37724
2010-12-01,30.61,31.79,30.61,31.50,4929200,29.21033
2010-11-01,31.34,31.73,30.14,30.27,7372700,27.92488
2010-10-01,30.71,31.64,30.11,31.17,5901900,28.75515
2010-09-01,28.37,30.88,28.37,30.49,6864300,28.12784
2010-08-02,28.88,29.98,28.00,28.10,8254000,25.79037
2010-07-01,28.15,29.38,27.49,28.57,9294700,26.22174
2010-06-01,28.76,29.93,28.14,28.20,8822000,25.88215
2010-05-03,30.88,31.16,27.97,28.87,13105100,26.36308
2010-04-01,32.30,32.42,30.60,30.88,8079200,28.19855
2010-03-01,31.40,32.69,31.40,32.13,6272800,29.34001
2010-02-01,31.33,32.12,30.27,31.40,7629300,28.57773
2010-01-04,31.47,33.16,31.27,31.28,10066100,28.46851
2009-12-01,30.76,31.76,30.65,31.07,6463900,28.27739
2009-11-02,28.08,31.10,28.03,30.68,5698500,27.76906
