Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,71.60,72.97,68.45,72.15,9270000,71.90849
2014-11-03,68.26,71.95,66.93,71.81,6391900,71.27415
2014-10-01,66.54,68.41,61.68,68.10,8657000,67.59184
2014-09-02,68.85,69.33,66.59,66.69,4423200,66.19236
2014-08-01,65.70,69.03,65.16,68.82,5377000,68.07874
2014-07-01,66.91,68.13,65.84,65.89,6845400,65.1803
2014-06-02,65.80,67.26,65.40,66.74,3848300,66.02114
2014-05-01,63.92,65.70,62.63,65.68,4571500,64.76556
2014-04-01,64.91,66.25,61.84,63.84,6549600,62.95118
2014-03-03,66.16,67.85,63.53,64.72,6180800,63.81892
2014-02-03,62.76,67.07,61.03,66.84,7411200,65.70266
2014-01-02,66.70,66.83,62.43,62.82,7097100,61.75107
2013-12-02,65.52,66.85,64.05,66.83,4595100,65.69283
2013-11-01,63.71,65.86,62.25,65.60,5190900,64.22642
2013-10-01,60.60,63.81,58.45,63.41,6676700,62.08227
2013-09-03,58.33,61.75,57.86,60.63,5929000,59.36049
2013-08-01,59.86,60.75,57.31,57.68,5011500,56.307
2013-07-01,56.76,59.90,56.50,59.37,5542900,57.95676
2013-06-03,56.27,57.38,53.96,56.40,7545100,55.05746
2013-05-01,54.52,58.09,54.26,56.12,5317900,54.60917
2013-04-01,52.99,54.69,51.95,54.61,5802500,53.13982
2013-03-01,50.44,53.05,50.34,53.00,4789100,51.57316
2013-02-01,50.47,51.23,49.40,50.93,6112300,49.41101
2013-01-02,48.33,50.98,48.07,50.13,5341300,48.63487
2012-12-03,47.83,48.40,46.24,47.44,7358300,46.0251
2012-11-01,46.25,47.63,44.66,47.53,6543400,45.81851
2012-10-01,46.91,47.97,45.43,46.07,5081400,44.41108
2012-09-04,45.46,48.01,45.15,46.79,4429500,45.10516
2012-08-01,43.83,45.75,43.01,45.55,4559200,43.75709
2012-07-02,43.81,44.58,42.45,43.54,6159300,41.82621
2012-06-01,42.37,44.33,41.44,43.78,9253700,42.05676
2012-05-01,45.72,46.27,41.73,43.10,9621200,41.25768
2012-04-02,45.02,46.08,43.42,45.61,7604300,43.66039
2012-03-01,43.31,45.56,42.67,45.09,5349500,43.16262
2012-02-01,41.40,43.51,41.21,43.19,5249800,41.21692
2012-01-03,39.67,41.90,39.23,41.32,4171600,39.43235
2011-12-01,38.69,39.75,37.37,39.02,5687200,37.23742
2011-11-01,38.05,39.61,36.33,38.74,6158900,36.75685
2011-10-03,34.61,40.17,33.07,39.02,11113800,37.02252
2011-09-01,37.55,38.23,34.67,34.86,12399600,33.07547
2011-08-01,40.10,40.10,33.42,37.57,15388400,35.52501
2011-07-01,40.29,41.78,39.29,39.65,8121800,37.49179
2011-06-01,40.29,40.36,37.52,40.21,10017200,38.02131
2011-05-02,40.71,41.02,39.43,40.44,7086600,38.10424
2011-04-01,39.29,40.72,38.46,40.55,7098000,38.20789
2011-03-01,39.47,39.58,37.38,39.05,8344500,36.79453
2011-02-01,37.42,40.02,37.29,39.41,5413900,37.00972
2011-01-03,37.71,38.41,37.03,37.18,6159200,34.91554
2010-12-01,36.64,37.88,36.62,37.41,4848700,35.13153
2010-11-01,35.33,36.61,35.02,36.15,8925600,33.74922
2010-10-01,33.58,35.49,33.11,35.26,7033100,32.91832
2010-09-01,30.61,33.89,30.61,33.41,7473900,31.19118
2010-08-02,31.88,32.41,29.80,30.19,7666500,28.09472
2010-07-01,29.24,32.18,28.64,31.44,9467800,29.25797
2010-06-01,32.15,33.12,29.07,29.13,10935200,27.10829
2010-05-03,34.99,35.69,30.34,32.37,16610700,30.02664
2010-04-01,33.01,36.13,32.84,34.82,8147600,32.29927
2010-03-01,30.67,33.29,30.58,32.84,6096800,30.46261
2010-02-01,28.97,30.60,28.21,30.52,6497500,28.25666
2010-01-04,29.90,30.54,28.89,28.91,6264300,26.76605
2009-12-01,28.87,30.32,28.73,29.77,4993900,27.56228
2009-11-02,26.82,29.55,26.62,28.62,8176600,26.35353
